row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019,VNDNgày 31 tháng 12năm 2018,numeric__Ngày 31 tháng 12năm 2019,numeric__VNDNgày 31 tháng 12năm 2018
Nha Trang Petrol,Nha Trang Petrol,Nha Trang Petrol,1.254.934.820,756.370.320,1254934820.0,756370320.0
Cho vay bên liên quan (Thuyết minh số 29),Cho vay bên liên quan (Thuyết minh số 29),Cho vay bên liên quan (Thuyết minh số 29),71.842.842.732,6.041.430.000,71842842732.0,6041430000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,73.097.777.552,6.797.800.320,73097777552.0,6797800320.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,44.388.934.820,6.797.800.320,44388934820.0,6797800320.0
Dải hạn,Trong đó: > Dải hạn,Dải hạn,28.708.842.732,-,28708842732.0,
