row_label_raw,row_label_full,Từ ngày 1/1/2018 đến ngày 31/12/2018,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,12.582.007,40.755.435,141.991.766,858.003,196.187.211,12582007.0,40755435.0,141991766.0,858003.0,196187211.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,880.284.135,,,,,880284135.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,14.148.728,73.665.368,145.814.184,96.478.087,330.106.367,14148728.0,73665368.0,145814184.0,96478087.0,330106367.0
Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,863.302.836,,,,,863302836.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,,,,,209.398.773,,,,,209398773.0
Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,Từ ngày 1/1/2017 đến ngày 31/12/2017,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Từ ngày 1/1/2017 đến ngày 31/12/2017 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,24.189.965,263.377.029,4.295.613,291.862.607,,24189965.0,263377029.0,4295613.0,291862607.0
Chi tiêu vốn không phân bổ,Từ ngày 1/1/2017 đến ngày 31/12/2017 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,648.867.913,,,,,648867913.0
Khấu hao tài sản cố định,Từ ngày 1/1/2017 đến ngày 31/12/2017 > Khấu hao tài sản cố định,Khấu hao tài sản cố định,14.461.260,75.293.663,144.252.892,98.633.905,332.641.720,14461260.0,75293663.0,144252892.0,98633905.0,332641720.0
Khấu hao tài sản cố định không phân bổ,Từ ngày 1/1/2017 đến ngày 31/12/2017 > Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,806.763.861,,,,,806763861.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Từ ngày 1/1/2017 đến ngày 31/12/2017 > Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanhchung không phân bổ theo bộ phận,,,,,213.613.268,,,,,213613268.0
