row_label_raw,row_label_full,Ban Giám đốc,Ban Giám đốc_1,Ban Giám đốc_2,numeric__Ban Giám đốc_1,numeric__Ban Giám đốc_2
,,,Ông Craig Richard BradshawÔng Nikhil Kamran,Tổng Giám đốcGiám đốc tài chính(từ nhiệm ngày 23/8/2018),,
,,,Bà Nguyễn Thị Thanh Mai,Kế toán trường(từ ngày 23/7/2018),,
