row_label_raw,row_label_full,col_0,Số lỗ được khấu trừ,Số lỗ được khấu trừ_1,numeric__Số lỗ được khấu trừ,numeric__Số lỗ được khấu trừ_1
,,,Tập đoànNghìn VND,Công tyNghìn VND,,
Lỗ tính thuế lũy kế 5 năm,Lỗ tính thuế lũy kế 5 năm,Lỗ tính thuế lũy kế 5 năm,6.501.066,1.846.420,6501066.0,1846420.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Đã quyết toán với cơ quan thuế,Trong đó: > Đã quyết toán với cơ quan thuế,Đã quyết toán với cơ quan thuế,4.194.764,-,4194764.0,
Chưa quyết toán – tùy thuộc kết quả kiểm tra của cơ quan thuế (*),Trong đó: > Chưa quyết toán – tùy thuộc kết quả kiểm tra của cơ quan thuế (*),Chưa quyết toán – tùy thuộc kết quả kiểm tra của cơ quan thuế (*),2.306.302,1.846.420,2306302.0,1846420.0
,,,6.501.066,1.846.420,6501066.0,1846420.0
