row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2018Nghìn VND,Tập đoàn > 2017Nghìn VND,Công ty > 2018Nghìn VND,Công ty > 2017Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2018Nghìn VND,numeric__Tập đoàn > 2017Nghìn VND,numeric__Công ty > 2018Nghìn VND,numeric__Công ty > 2017Nghìn VND
Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang từ trang trước),Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang từ trang trước),Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang từ trang trước),50,,828.112.544,292.122.452,1.757.699,11.265,50.0,,828112544.0,292122452.0,1757699.0,11265.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,28,35.190.165,36.841.033,-,-,51.0,28.0,35190165.0,36841033.0,,
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,28,(17.079.300),(45.844.345),-,-,52.0,28.0,-17079300.0,-45844345.0,,
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),60,,810.001.679,301.125.764,1.757.699,11.265,60.0,,810001679.0,301125764.0,1757699.0,11265.0
,,,,,Nghìn VND,Nghìn VND,,,,,,,,
Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,,,,,,
Cổ đông của Công ty,Lợi nhuận thuần phân bổ cho: > Cổ đông của Công ty,Cổ đông của Công ty,61,,663.756.323,205.914.056,,,61.0,,663756323.0,205914056.0,,
Cổ đông không kiểm soát,Lợi nhuận thuần phân bổ cho: > Cổ đông không kiểm soát,Cổ đông không kiểm soát,62,,146.245.356,95.211.708,,,62.0,,146245356.0,95211708.0,,
,,,,,VND,VND(Điều chỉnh lại),,,,,,,,
Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,,,,,,
Lãi cơ bản trên cổ phiếu,Lãi trên cổ phiếu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,29,738,229,,,70.0,29.0,738.0,229.0,,
