row_label_raw,row_label_full,Các bên liên quan,Bản chất của giao dịch,2018Nghìn VND,2017Nghìn VND,numeric__Bản chất của giao dịch,numeric__2018Nghìn VND,numeric__2017Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,
Tập đoàn Masan,Công ty Cổ phần > Tập đoàn Masan,Tập đoàn Masan,Lãi trái phiếu,17.260.159,-,,17260159.0,
Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,,,
TCB và các công ty con,Công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Tiền thu được từ phát hành trái phiếu (*),2.500.000.000,-,,2500000000.0,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty TNHH Khai thác,Các công ty con > Công ty TNHH Khai thác,Công ty TNHH Khai thác,Doanh thu tài chính nhận được,-,28.249.448,,,28249448.0
Chế biển Khoáng sản,Các công ty con > Chế biển Khoáng sản,Chế biển Khoáng sản,Phân chia lợi nhuận từ HĐHTKD,32.922.901,-,,32922901.0,
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Góp vốn cho HĐHTKD,1.500.000.000,-,,1500000000.0,
Công ty TNHH Vonfram,Công ty TNHH Vonfram,Công ty TNHH Vonfram,Công ty TNHH Vonfram,Công ty TNHH Vonfram,Công ty TNHH Vonfram,,,
Masan,Công ty TNHH Vonfram > Masan,Masan,Phân chia lợi nhuận từ HĐHTKD,11.675.698,-,,11675698.0,
Masan,Công ty TNHH Vonfram > Masan,Masan,Góp vốn cho HĐHTKD,1.000.000.000,-,,1000000000.0,
