row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2018Nghìn VND,Tập đoàn > 2017Nghìn VND,Công ty > 2018Nghìn VND,Công ty > 2017Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2018Nghìn VND,numeric__Tập đoàn > 2017Nghìn VND,numeric__Công ty > 2018Nghìn VND,numeric__Công ty > 2017Nghìn VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,25,6.865.010.875,5.404.645.101,-,-,1.0,25.0,6865010875.0,5404645101.0,,
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,,4.703.549.284,3.713.762.618,-,-,11.0,,4703549284.0,3713762618.0,,
Lợi nhuận gộp(20 = 01 - 11),Lợi nhuận gộp(20 = 01 - 11),Lợi nhuận gộp(20 = 01 - 11),20,,2.161.461.591,1.690.882.483,-,-,20.0,,2161461591.0,1690882483.0,,
Doanh thu hoạt độngtài chính,Doanh thu hoạt độngtài chính,Doanh thu hoạt độngtài chính,21,26,126.790.749,41.999.592,44.669.471,14.265,21.0,26.0,126790749.0,41999592.0,44669471.0,14265.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,27,1.204.829.996,1.137.924.018,40.756.034,-,22.0,27.0,1204829996.0,1137924018.0,40756034.0,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,104.331.557,135.288.194,-,-,25.0,,104331557.0,135288194.0,,
Chi phí quản lýdoanh nghiệp,Chi phí quản lýdoanh nghiệp,Chi phí quản lýdoanh nghiệp,26,,127.022.646,124.952.093,2.165.738,3.000,26.0,,127022646.0,124952093.0,2165738.0,3000.0
Lợi nhuận thuần từhoạt động kinh doanh(30 = 20 + 21 - 22 - 25 - 26),Lợi nhuận thuần từhoạt động kinh doanh(30 = 20 + 21 - 22 - 25 - 26),Lợi nhuận thuần từhoạt động kinh doanh(30 = 20 + 21 - 22 - 25 - 26),30,,852.068.141,334.717.770,1.747.699,11.265,30.0,,852068141.0,334717770.0,1747699.0,11265.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,2.098.777,2.254.261,10.000,-,31.0,,2098777.0,2254261.0,10000.0,
Chi phí khác,Chi phí khác,Chi phí khác,32,,26.054.374,44.849.579,-,-,32.0,,26054374.0,44849579.0,,
Kết quả từ các hoạt độngkhác (40 = 31 - 32),Kết quả từ các hoạt độngkhác (40 = 31 - 32),Kết quả từ các hoạt độngkhác (40 = 31 - 32),40,,(23.955.597),(42.595.318),10.000,-,40.0,,-23955597.0,-42595318.0,10000.0,
Lợi nhuận kế toán trướcthuế (50 = 30 + 40)(chuyển sang trang sau),Lợi nhuận kế toán trướcthuế (50 = 30 + 40)(chuyển sang trang sau),Lợi nhuận kế toán trướcthuế (50 = 30 + 40)(chuyển sang trang sau),50,,828.112.544,292.122.452,1.757.699,11.265,50.0,,828112544.0,292122452.0,1757699.0,11265.0
