row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ hàng hải dầu khí,Thương mại,Tổng,numeric__Dịch vụ vận tải,numeric__Dịch vụ hàng hải dầu khí,numeric__Thương mại,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản bộ phận,Số cuối năm > Tài sản bộ phận,Tài sản bộ phận,6.064.089.805.133,461.144.908.534,19.527.564.320,6.544.762.277.987,6064089805133.0,461144908534.0,19527564320.0,6544762277987.0
Tài sản không phân bổ,Số cuối năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,357.499.854.546,,,,357499854546.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,6.902.262.132.533,,,,6902262132533.0
Nợ phải trả bộ phận,Số cuối năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.789.537.746.305,421.942.465.029,-,2.211.480.211.334,1789537746305.0,421942465029.0,,2211480211334.0
Nợ phải trả không phân bổ,Số cuối năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,421.270.300.032,,,,421270300032.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,2.632.750.511.366,,,,2632750511366.0
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ hàng hải dầu khí,Thương mại,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,3.858.725.645.070,346.793.964.426,25.437.297.458,4.230.956.906.954,3858725645070.0,346793964426.0,25437297458.0,4230956906954.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,2.811.785.518.142,,,,2811785518142.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,7.042.742.425.096,,,,7042742425096.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.885.377.994.296,240.509.833.287,-,2.125.887.827.583,1885377994296.0,240509833287.0,,2125887827583.0
Nợ phải trả không phân bổ,Số đầu năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,980.417.835.723,,,,980417835723.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,3.106.305.663.306,,,,3106305663306.0
