row_label_raw,row_label_full,Chỉ tiêu > Năm trướcDoanh thu,Dịch vụ vận tảiVND,Dịch vụ hàng hải đầu khíVND,Thương mạiVND,TổngVND,numeric__Dịch vụ vận tảiVND,numeric__Dịch vụ hàng hải đầu khíVND,numeric__Thương mạiVND,numeric__TổngVND
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.800.731.437.662,1.031.444.879.774,16.941.998.260,2.849.118.315.696,1800731437662.0,1031444879774.0,16941998260.0,2849118315696.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.800.731.437.662,1.031.444.879.774,16.941.998.260,2.849.118.315.696,1800731437662.0,1031444879774.0,16941998260.0,2849118315696.0
Giá vốn,Giá vốn,Giá vốn,,,,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,1.370.467.613.775,867.316.791.236,16.474.426.674,2.254.258.831.685,1370467613775.0,867316791236.0,16474426674.0,2254258831685.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,1.370.467.613.775,867.316.791.236,16.474.426.674,2.254.258.831.685,1370467613775.0,867316791236.0,16474426674.0,2254258831685.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,430.263.823.887,164.128.088.538,467.571.586,594.859.484.011,430263823887.0,164128088538.0,467571586.0,594859484011.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,(67.523.598.223),,,,-67523598223.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,527.335.885.788,,,,527335885788.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,250.929.979.526,,,,250929979526.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,1.442.624.862,,,,1442624862.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(44.205.439.109),,,,-44205439109.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,735.503.051.067,,,,735503051067.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(113.817.322.013),,,,-113817322013.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,6.320.606.706,,,,6320606706.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,628.006.335.760,,,,628006335760.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,144.014.634.470,,,,144014634470.0
Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,,,,
