row_label_raw,row_label_full,col_0,Phương tiện vận tảiVND,Thiết bị văn phòngVND,TổngVND,numeric__Phương tiện vận tảiVND,numeric__Thiết bị văn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.495.519.956.718,12.385.158.299,2.507.905.115.017,2495519956718.0,12385158299.0,2507905115017.0
Mua mới trong năm,NGUYÊN GIÁ > Mua mới trong năm,Mua mới trong năm,-,201.500.000,201.500.000,,201500000.0,201500000.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,2.100.229.844,2.306.835.500,4.407.065.344,2100229844.0,2306835500.0,4407065344.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(494.987.952),-,(494.987.952),-494987952.0,,-494987952.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.497.125.198.610,14.893.493.799,2.512.018.692.409,2497125198610.0,14893493799.0,2512018692409.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,482.507.397.992,10.624.012.898,493.131.410.890,482507397992.0,10624012898.0,493131410890.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,169.300.627.978,845.468.673,170.146.096.651,169300627978.0,845468673.0,170146096651.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,2.100.229.844,2.306.835.500,4.407.065.344,2100229844.0,2306835500.0,4407065344.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(494.987.952),-,(494.987.952),-494987952.0,,-494987952.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,653.413.267.862,13.776.317.071,667.189.584.933,653413267862.0,13776317071.0,667189584933.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.013.012.558.726,1.761.145.401,2.014.773.704.127,2013012558726.0,1761145401.0,2014773704127.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.843.711.930.748,1.117.176.728,1.844.829.107.476,1843711930748.0,1117176728.0,1844829107476.0
