row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,690.630.196.183,727.416.030.388,690630196183.0,727416030388.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,938.115.922.949,1.436.554.343.816,938115922949.0,1436554343816.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.458.237.767.300,856.237.767.300,1458237767300.0,856237767300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.086.983.886.432,3.020.208.141.504,3086983886432.0,3020208141504.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,1.191.945.146.705,1.804.425.848.021,1191945146705.0,1804425848021.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,859.104.857.556,815.100.343.236,859104857556.0,815100343236.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,115.239.538.495,83.906.330.173,115239538495.0,83906330173.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,2.166.289.542.756,2.703.432.521.430,2166289542756.0,2703432521430.0
