row_label_raw,row_label_full,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
VND,VND,VND,VND,VND,VND,,,
690.630.196.183,VND > 690.630.196.183,690.630.196.183,-,-,690.630.196.183,,,690630196183.0
694.158.312.524,VND > 694.158.312.524,694.158.312.524,243.957.610.425,-,938.115.922.949,243957610425.0,,938115922949.0
1.412.300.000.000,VND > 1.412.300.000.000,1.412.300.000.000,-,45.937.767.300,1.458.237.767.300,,45937767300.0,1458237767300.0
2.797.088.508.707,VND > 2.797.088.508.707,2.797.088.508.707,243.957.610.425,45.937.767.300,3.086.983.886.432,243957610425.0,45937767300.0,3086983886432.0
250.588.048.614,VND > 250.588.048.614,250.588.048.614,811.716.725.685,129.640.372.406,1.191.945.146.705,811716725685.0,129640372406.0,1191945146705.0
627.075.113.556,VND > 627.075.113.556,627.075.113.556,145.445.568.000,86.584.176.000,859.104.857.556,145445568000.0,86584176000.0,859104857556.0
110.400.591.792,VND > 110.400.591.792,110.400.591.792,4.838.946.703,-,115.239.538.495,4838946703.0,,115239538495.0
988.063.753.962,VND > 988.063.753.962,988.063.753.962,962.001.240.388,216.224.548.406,2.166.289.542.756,962001240388.0,216224548406.0,2166289542756.0
1.809.024.754.745,VND > 1.809.024.754.745,1.809.024.754.745,(718.043.629.963),(170.286.781.106),920.694.343.676,-718043629963.0,-170286781106.0,920694343676.0
Dưới 1 năm,Dưới 1 năm,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,,,
VND,VND,VND,VND,VND,VND,,,
727.416.030.388,VND > 727.416.030.388,727.416.030.388,-,-,727.416.030.388,,,727416030388.0
1.124.716.661.680,VND > 1.124.716.661.680,1.124.716.661.680,278.024.506.644,33.813.175.492,1.436.554.343.816,278024506644.0,33813175492.0,1436554343816.0
810.300.000.000,VND > 810.300.000.000,810.300.000.000,-,45.937.767.300,856.237.767.300,,45937767300.0,856237767300.0
2.662.432.692.068,VND > 2.662.432.692.068,2.662.432.692.068,278.024.506.644,79.750.942.792,3.020.208.141.504,278024506644.0,79750942792.0,3020208141504.0
646.321.802.328,VND > 646.321.802.328,646.321.802.328,866.618.390.424,291.485.655.269,1.804.425.848.021,866618390424.0,291485655269.0,1804425848021.0
554.209.207.236,VND > 554.209.207.236,554.209.207.236,115.445.568.000,145.445.568.000,815.100.343.236,115445568000.0,145445568000.0,815100343236.0
79.077.780.862,VND > 79.077.780.862,79.077.780.862,4.828.549.311,-,83.906.330.173,4828549311.0,,83906330173.0
1.279.608.790.426,VND > 1.279.608.790.426,1.279.608.790.426,986.892.507.735,436.931.223.269,2.703.432.521.430,986892507735.0,436931223269.0,2703432521430.0
1.382.823.901.642,VND > 1.382.823.901.642,1.382.823.901.642,(708.868.001.091),(357.180.280.477),316.775.620.074,-708868001091.0,-357180280477.0,316775620074.0
