row_label_raw,row_label_full,col_0,31/12/2022triệu đồngPhải thu/(Phải trả),31/12/2021triệu đồngPhải thu/(Phải trả),numeric__31/12/2022triệu đồngPhải thu/(Phải trả),numeric__31/12/2021triệu đồngPhải thu/(Phải trả)
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(202.876),(72.090),-202876.0,-72090.0
- Phải thu bản chứng chỉ quỹ JAMBF,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Phải thu bản chứng chỉ quỹ JAMBF",- Phải thu bản chứng chỉ quỹ JAMBF,-,16.402,,16402.0
"Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Cổ phần Chứng khoán MB (""MBS"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(820.998),(1.169.609),-820998.0,-1169609.0
"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quản đội (""MB AMC"")","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quản đội (""MB AMC"")","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quản đội (""MB AMC"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quản đội (""MB AMC"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(325.703),(387.884),-325703.0,-387884.0
"Công ty Tài chính TNHH MB Shinsei (""Mcredit"")","Công ty Tài chính TNHH MB Shinsei (""Mcredit"")","Công ty Tài chính TNHH MB Shinsei (""Mcredit"")",,,,
- Tiền gửi có kỳ hạn tại Mcredit,"Công ty Tài chính TNHH MB Shinsei (""Mcredit"") > - Tiền gửi có kỳ hạn tại Mcredit",- Tiền gửi có kỳ hạn tại Mcredit,7.000.000,5.465.000,7000000.0,5465000.0
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Tài chính TNHH MB Shinsei (""Mcredit"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(1.607.056),(397.507),-1607056.0,-397507.0
"Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(993.492),(1.204.980),-993492.0,-1204980.0
Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,Công ty TNHH Bảo hiểm nhân thọ MB Ageas > - Tiền gửi không kỳ hạn và có kỳ hạn,- Tiền gửi không kỳ hạn và có kỳ hạn,(1.486.359),(1.469.677),-1486359.0,-1469677.0
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
- Tiền gửi tại Ngân hàng,Cổ đông lớn > - Tiền gửi tại Ngân hàng,- Tiền gửi tại Ngân hàng,(28.658.340),(27.908.467),-28658340.0,-27908467.0
