row_label_raw,row_label_full,"Giá trị lợi thế thương mại (""LTTM"")",31/12/2022triệu đồng > 94.261,31/12/2021triệu đồng > 94.261,numeric__31/12/2022triệu đồng > 94.261,numeric__31/12/2021triệu đồng > 94.261
Điều chỉnh của KTNN,Điều chỉnh của KTNN,Điều chỉnh của KTNN,965,965,965.0,965.0
Tổng giá trị lợi thế thương mại,Tổng giá trị lợi thế thương mại,Tổng giá trị lợi thế thương mại,95.226,95.226,95226.0,95226.0
Thời gian phân bổ (năm),Thời gian phân bổ (năm),Thời gian phân bổ (năm),10,10,10.0,10.0
Giá trị LTTM đã phân bổ lũy kế đầu năm,Giá trị LTTM đã phân bổ lũy kế đầu năm,Giá trị LTTM đã phân bổ lũy kế đầu năm,57.136,47.613,57136.0,47613.0
Giá trị LTTM chưa phân bổ,Giá trị LTTM chưa phân bổ,Giá trị LTTM chưa phân bổ,38.090,47.613,38090.0,47613.0
Lợi thế thương mại phân bổ trong năm,Lợi thế thương mại phân bổ trong năm,Lợi thế thương mại phân bổ trong năm,(9.522),(9.523),-9522.0,-9523.0
- Giá trị LTTM phân bổ trong năm,- Giá trị LTTM phân bổ trong năm,- Giá trị LTTM phân bổ trong năm,(9.522),(9.523),-9522.0,-9523.0
,,,28.568,38.090,28568.0,38090.0
