row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Cổ phiếu quỹ triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Cổ phiếu quỹ triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,27.987.569,1.177.563,(564.397),1.809.988,3.605.175,617.401,12.102.744,46.736.043,27987569.0,1177563.0,-564397.0,1809988.0,3605175.0,617401.0,12102744.0,46736043.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,11.554.421,11.554.421,,,,,,,11554421.0,11554421.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,392.017,784.035,276.012,(1.452.054),-,,,,392017.0,784035.0,276012.0,-1452054.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,(548.824),(548.824),,,,,,,-548824.0,-548824.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,-,-,(418.766),-,(418.766),,,,,,-418766.0,,-418766.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,9.795.649,-,-,-,-,-,(9.795.649),-,9795649.0,,,,,,-9795649.0,
Chia cổ phiếu quỹ cho cổ đông hiện hữu,Chia cổ phiếu quỹ cho cổ đông hiện hữu,Chia cổ phiếu quỹ cho cổ đông hiện hữu,-,(308.236),564.397,-,-,-,(256.161),-,,-308236.0,564397.0,,,,-256161.0,
Biển động khác,Biển động khác,Biển động khác,-,-,-,-,-,(1.256),(2.719),(3.975),,,,,,-1256.0,-2719.0,-3975.0
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,37.783.218,869.327,-,2.202.005,4.389.210,473.391,11.601.748,57.318.899,37783218.0,869327.0,,2202005.0,4389210.0,473391.0,11601748.0,57318899.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,16.310.087,16.310.087,,,,,,,16310087.0,16310087.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,577.721,1.155.442,408.141,(2.141.304),-,,,,577721.0,1155442.0,408141.0,-2141304.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,(808.810),(808.810),,,,,,,-808810.0,-808810.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,-,-,(233.128),-,(233.128),,,,,,-233128.0,,-233128.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,7.556.643,-,-,-,-,-,(7.556.643),-,7556643.0,,,,,,-7556643.0,
Điều chỉnh theo KTNN,Điều chỉnh theo KTNN,Điều chỉnh theo KTNN,-,-,-,-,-,-,51.080,51.080,,,,,,,51080.0,51080.0
Biển động khác,Biển động khác,Biển động khác,-,-,-,-,-,(2.430),(35.471),(37.901),,,,,,-2430.0,-35471.0,-37901.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,45.339.861,869.327,-,2.779.726,5.544.652,645.974,17.420.687,72.600.227,45339861.0,869327.0,,2779726.0,5544652.0,645974.0,17420687.0,72600227.0
