row_label_raw,row_label_full,col_0,Đơn vị: triệu đồng > Miền Bắc,Đơn vị: triệu đồng > Miền Trung,Đơn vị: triệu đồng > Miền Nam,Đơn vị: triệu đồng > Nước ngoài,Đơn vị: triệu đồng > Loại trừ,Đơn vị: triệu đồng > Tổng công,numeric__Đơn vị: triệu đồng > Miền Bắc,numeric__Đơn vị: triệu đồng > Miền Trung,numeric__Đơn vị: triệu đồng > Miền Nam,numeric__Đơn vị: triệu đồng > Nước ngoài,numeric__Đơn vị: triệu đồng > Loại trừ,numeric__Đơn vị: triệu đồng > Tổng công
Doanh thu,Doanh thu,Doanh thu,85.181.236,5.275.112,23.623.724,341.642,(56.331.881),58.089.833,85181236.0,5275112.0,23623724.0,341642.0,-56331881.0,58089833.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,69.885.299,4.380.080,21.117.926,282.958,(50.429.552),45.236.711,69885299.0,4380080.0,21117926.0,282958.0,-50429552.0,45236711.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2.981.563,129.362,766.916,14.032,(348.661),3.543.212,2981563.0,129362.0,766916.0,14032.0,-348661.0,3543212.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,12.314.374,765.670,1.738.882,44.652,(5.553.668),9.309.910,12314374.0,765670.0,1738882.0,44652.0,-5553668.0,9309910.0
Chi phí,Chi phí,Chi phí,(67.858.432),(3.126.775),(15.056.082),(298.000),53.627.424,(32.711.865),-67858432.0,-3126775.0,-15056082.0,-298000.0,53627424.0,-32711865.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(52.295.494),(2.481.102),(11.716.326),(184.915),50.436.361,(16.241.476),-52295494.0,-2481102.0,-11716326.0,-184915.0,50436361.0,-16241476.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(942.306),(17.780),(54.057),(4.122),-,(1.018.265),-942306.0,-17780.0,-54057.0,-4122.0,,-1018265.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(14.620.632),(627.893),(3.285.699),(108.963),3.191.063,(15.452.124),-14620632.0,-627893.0,-3285699.0,-108963.0,3191063.0,-15452124.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,17.322.804,2.148.337,8.567.642,43.642,(2.704.457),25.377.968,17322804.0,2148337.0,8567642.0,43642.0,-2704457.0,25377968.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(5.784.007),(817.384),(1.159.178),(3.482),2.704.457,(5.059.584),-5784007.0,-817384.0,-1159178.0,-3482.0,2704457.0,-5059584.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,11.538.797,1.330.953,7.408.464,40.160,-,20.318.374,11538797.0,1330953.0,7408464.0,40160.0,,20318374.0
