row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiện vận tãlvà thiết bị truyền đãntriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiện vận tãlvà thiết bị truyền đãntriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.246.611,1.285.447,1.163.034,259.177,4.954.269,2246611.0,1285447.0,1163034.0,259177.0,4954269.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,95.181,406.648,126.674,62.398,690.901,95181.0,406648.0,126674.0,62398.0,690901.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(405),(54.196),(21.690),(15.670),(91.961),-405.0,-54196.0,-21690.0,-15670.0,-91961.0
Chênh lệch tỷ giả,Nguyên giá > Chênh lệch tỷ giả,Chênh lệch tỷ giả,(118),(1.726),(636),(253),(2.733),-118.0,-1726.0,-636.0,-253.0,-2733.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.341.269,1.636.173,1.267.382,305.652,5.550.476,2341269.0,1636173.0,1267382.0,305652.0,5550476.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,310.255,1.079.780,568.774,135.844,2.094.653,310255.0,1079780.0,568774.0,135844.0,2094653.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,94.769,213.471,252.846,48.617,609.703,94769.0,213471.0,252846.0,48617.0,609703.0
Giảm khấu hao trong năm,Giá trị hao mòn luỹ kế > Giảm khấu hao trong năm,Giảm khấu hao trong năm,(389),(54.106),(21.690),(13.416),(89.601),-389.0,-54106.0,-21690.0,-13416.0,-89601.0
Chênh lệch tỷ giả,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giả,Chênh lệch tỷ giả,(90),(1.507),(621),(192),(2.410),-90.0,-1507.0,-621.0,-192.0,-2410.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,404.545,1.237.638,799.309,170.853,2.612.345,404545.0,1237638.0,799309.0,170853.0,2612345.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.936.356,205.667,594.260,123.333,2.859.616,1936356.0,205667.0,594260.0,123333.0,2859616.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.936.724,398.535,468.073,134.799,2.938.131,1936724.0,398535.0,468073.0,134799.0,2938131.0
