row_label_raw,row_label_full,Các khoản thuế phải nộp Nhà nước (Thuyết minh số 25),31/12/2022triệu đồng > 3.066.138,31/12/2021triệu đồng > 880.837,numeric__31/12/2022triệu đồng > 3.066.138,numeric__31/12/2021triệu đồng > 880.837
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,857.621,661.092,857621.0,661092.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,237.242,169.431,237242.0,169431.0
Phải trả liên quan đến dịch vụ liên kết,Phải trả liên quan đến dịch vụ liên kết,Phải trả liên quan đến dịch vụ liên kết,422.384,447.365,422384.0,447365.0
Phải trả giao dịch chuyển tiền liên ngân hàng,Phải trả giao dịch chuyển tiền liên ngân hàng,Phải trả giao dịch chuyển tiền liên ngân hàng,9.410.486,7.834.781,9410486.0,7834781.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.299.549,1.882.311,1299549.0,1882311.0
,,,15.293.420,11.875.817,15293420.0,11875817.0
