row_label_raw,row_label_full,col_0,Năm 2022triệu đồng,Năm 2021triệu đồng,numeric__Năm 2022triệu đồng,numeric__Năm 2021triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,3.543.212,3.056.511,3543212.0,3056511.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,1.696.507,1.190.064,1696507.0,1190064.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,7.455,11.969,7455.0,11969.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,275.971,383.010,275971.0,383010.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,1.092.651,731.642,1092651.0,731642.0
Thu phí khác,Thu phí khác,Thu phí khác,470.628,739.826,470628.0,739826.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(1.903.521),(1.156.554),-1903521.0,-1156554.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(97.055),(65.079),-97055.0,-65079.0
Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(59),(31),-59.0,-31.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,(71),(3.002),-71.0,-3002.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(526.924),(262.968),-526924.0,-262968.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(20.619),(13.259),-20619.0,-13259.0
"Chi dịch vụ khác(chi các hoạt động ngân hàng số, thể,...)","Chi dịch vụ khác(chi các hoạt động ngân hàng số, thể,...)","Chi dịch vụ khác(chi các hoạt động ngân hàng số, thể,...)",(1.258.793),(812.215),-1258793.0,-812215.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.639.691,1.899.957,1639691.0,1899957.0
