row_label_raw,row_label_full,col_0,31/12/2022%/năm,31/12/2021%/năm,numeric__31/12/2022%/năm,numeric__31/12/2021%/năm
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"5,50 – 13,50","5,30 – 10,90",,
Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"4,00 – 8,50","1,50 – 4,00",,
