row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.084.972,897.346,1.982.318,1084972.0,897346.0,1982318.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,288.034,288.034,,288034.0,288034.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(95),(95),,-95.0,-95.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(35),(35),,-35.0,-35.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.084.972,1.185.250,2.270.222,1084972.0,1185250.0,2270222.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,181.857,760.471,942.328,181857.0,760471.0,942328.0
Tăng khấu hao trong năm,Giá trị hao mòn lũy kế > Tăng khấu hao trong năm,Tăng khấu hao trong năm,26.321,284.573,310.894,26321.0,284573.0,310894.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(95),(95),,-95.0,-95.0
Chênh lệch tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(39),(39),,-39.0,-39.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,208.178,1.044.910,1.253.088,208178.0,1044910.0,1253088.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,903.115,136.875,1.039.990,903115.0,136875.0,1039990.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,876.794,140.340,1.017.134,876794.0,140340.0,1017134.0
