row_label_raw,row_label_full,Hội đồng quản trị,Hội đồng quản trị_1,Hội đồng quản trị_2,Hội đồng quản trị_3,numeric__Hội đồng quản trị_1,numeric__Hội đồng quản trị_2,numeric__Hội đồng quản trị_3
Ông Nguyễn Việt Hoà,Ông Nguyễn Việt Hoà,Ông Nguyễn Việt Hoà,Chủ tịch,2.429.589.000,1.398.971.710,,2429589000.0,1398971710.0
Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên,450.000.000,200.000.000,,450000000.0,200000000.0
Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Thành viên,450.000.000,-,,450000000.0,
Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Thành viên(bổ nhiệm ngày 24/3/2022),2.962.138.000,476.498.000,,2962138000.0,476498000.0
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Thành viên,450.000.000,-,,450000000.0,
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Thành viên(bổ nhiệm ngày 9/9/2022),-,-,,,
Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Thành viên(bổ nhiệm ngày 9/9/2022),-,-,,,
Ông Dương Tiến Dũng,Ông Nguyễn Đức Dũng > Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Thành viên(miễn nhiệm ngày 9/9/2022),2.679.981.000,642.813.000,,2679981000.0,642813000.0
Ông Trần Quang Tiến,Ông Nguyễn Đức Dũng > Ông Trần Quang Tiến,Ông Trần Quang Tiến,Thành viên(miễn nhiệm ngày 9/9/2022),300.000.000,-,,300000000.0,
Ông Nguyễn Hoàng Anh,Ông Nguyễn Đức Dũng > Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Thành viên(miễn nhiệm ngày 9/3/2022),500.000.000,200.000.000,,500000000.0,200000000.0
,,,,10.221.708.000,2.918.282.710,,10221708000.0,2918282710.0
