row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2022 VND,Tại ngày 31 tháng 12 năm > 2021 VND(Phân loại lại – Thuyết minh 30),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2022 VND,numeric__Tại ngày 31 tháng 12 năm > 2021 VND(Phân loại lại – Thuyết minh 30)
300,300,300,NỘ PHẢI TRẢ,,292.715.964.947,660.864.221.429,,,292715964947.0,660864221429.0
310,310,310,Nợ ngắn hạn,,291.680.903.316,659.621.762.929,,,291680903316.0,659621762929.0
311,311,311,Phải trả người bán ngắn hạn,9,12.374.909.657,3.756.088.527,,9.0,12374909657.0,3756088527.0
312,312,312,Người mua trả tiền trước ngắn hạn,,1.139.597.062,1.767.719.458,,,1139597062.0,1767719458.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,10(c),1.626.750.347,2.117.363.304,,,1626750347.0,2117363304.0
314,314,314,Phải trả người lao động,11,1.164.055.500,8.108.614.589,,11.0,1164055500.0,8108614589.0
315,315,315,Chi phí phải trả ngắn hạn,,4.199.097.000,157.814.118,,,4199097000.0,157814118.0
319,319,319,Phải trả ngắn hạn khác,12,98.228.153.504,640.846.592.787,,12.0,98228153504.0,640846592787.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,13,171.800.000.000,-,,13.0,171800000000.0,
322,322,322,"Quỹ khen thưởng, phúc lợi",14,1.148.340.246,2.867.570.146,,14.0,1148340246.0,2867570146.0
330,330,330,Nợ dài hạn,,1.035.061.631,1.242.458.500,,,1035061631.0,1242458500.0
337,337,337,Phải trả dài hạn khác,,30.000.000,30.000.000,,,30000000.0,30000000.0
342,342,342,Dự phòng phải trả dài hạn,,1.005.061.631,1.212.458.500,,,1005061631.0,1212458500.0
400,400,400,VỐN CHỦ SỞ HỮU,,2.126.294.956.712,1.455.503.995.056,,,2126294956712.0,1455503995056.0
410,410,410,Vốn chủ sở hữu,,2.126.294.956.712,1.455.503.995.056,,,2126294956712.0,1455503995056.0
411,411,411,Vốn góp của chủ sở hữu,"15,16",1.212.693.970.000,551.227.980.000,,15.16,1212693970000.0,551227980000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,1.212.693.970.000,551.227.980.000,,,1212693970000.0,551227980000.0
412,412,412,Thắng dư vốn cổ phần,16,39.403.521.246,36.141.891.246,,16.0,39403521246.0,36141891246.0
418,418,418,Quỹ đầu tư phát triển,16,646.734.369.757,646.734.369.757,,16.0,646734369757.0,646734369757.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",16,227.463.095.709,221.399.754.053,,16.0,227463095709.0,221399754053.0
421a,421a,421a,- LNST chưa phân phối của các năm trước,,101.861.744.053,-,,,101861744053.0,
421b,421b,421b,- LNST chưa phân phối của năm nay,,125.601.351.656,221.399.754.053,,,125601351656.0,221399754053.0
440,440,440,TỔNG NGUỒN VỐN,,2.419.010.921.659,2.116.368.216.485,,,2419010921659.0,2116368216485.0
