row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_2,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_3,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_2,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_3
,,,Hoạt độngbản hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chínhVND,Tổng cộngVND,,,,
Doanh thu và thu nhập,Doanh thu và thu nhập,Doanh thu và thu nhập,164.709.275.430,75.145.805.672,284.103.635.058,523.958.716.160,164709275430.0,75145805672.0,284103635058.0,523958716160.0
Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,(160.299.641.399),(63.139.209.868),(20.962.688.941),(244.401.540.208),-160299641399.0,-63139209868.0,-20962688941.0,-244401540208.0
Tổng cộng,Tổng cộng,Tổng cộng,4.409.634.031,12.006.595.804,263.140.946.117,279.557.175.952,4409634031.0,12006595804.0,263140946117.0,279557175952.0
Chi phí chung không phân bổ,Chi phí chung không phân bổ,Chi phí chung không phân bổ,,,,(31.328.023.953),,,,-31328023953.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,248.229.151.999,,,,248229151999.0
,,,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,
,,,Hoạt độngbản hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chínhVND,Tổng cộngVND,,,,
Doanh thu và thu nhập,Doanh thu và thu nhập,Doanh thu và thu nhập,90.267.332.430,72.301.127.998,247.638.758.846,410.207.219.274,90267332430.0,72301127998.0,247638758846.0,410207219274.0
Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,(85.472.587.085),(51.800.344.804),(113.441.685),(137.386.373.574),-85472587085.0,-51800344804.0,-113441685.0,-137386373574.0
Tổng cộng,Tổng cộng,Tổng cộng,4.794.745.345,20.500.783.194,247.525.317.161,272.820.845.700,4794745345.0,20500783194.0,247525317161.0,272820845700.0
Chi phí chung không phân bổ,Chi phí chung không phân bổ,Chi phí chung không phân bổ,,,,(21.965.097.612),,,,-21965097612.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,250.855.748.088,,,,250855748088.0
