row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,(Phải trả),numeric__Số dư,numeric__Phải thu,numeric__(Phải trả)
,,,,Triệu VND,Triệu VND,,,
Cơ quan quản lýNhà nước,Cơ quan quản lýNhà nước,Cơ quan quản lýNhà nước,- Tiền gửi tại cơ quan quản lý,132.246.971,-,,132246971.0,
Cơ quan quản lýNhà nước,Cơ quan quản lýNhà nước,Cơ quan quản lýNhà nước,- Tiền gửi của cơ quan quản lý,-,(98.314.832),,,-98314832.0
Cơ quan quản lýNhà nước,Cơ quan quản lýNhà nước,Cơ quan quản lýNhà nước,- Các khoản vay từ cơ quan quản lý,-,(9.761.582),,,-9761582.0
Cổ đôngchiến lược,Cổ đôngchiến lược,Cổ đôngchiến lược,- Tiền gửi của BIDV tại cổ đông chiến lược,67.631,-,,67631.0,
Cổ đôngchiến lược,Cổ đôngchiến lược,Cổ đôngchiến lược,- Tiền gửi tại BIDV của cổ đông chiến lược,,(50.096),,,-50096.0
Cổ đôngchiến lược,Cổ đôngchiến lược,Cổ đôngchiến lược,- Tiền BIDV vay cổ đông chiến lược,,(231.700),,,-231700.0
Các công ty con,Các công ty con,Các công ty con,- Tiền gửi tại BIDV của các công ty con,-,(4.269.588),,,-4269588.0
Các công ty con,Các công ty con,Các công ty con,- Tiền vay từ BIDV của các công ty con,285.000,-,,285000.0,
Các công ty con,Các công ty con,Các công ty con,- Tiền gửi của BIDV tại các công ty con,6.432.975,-,,6432975.0,
Các công ty con,Các công ty con,Các công ty con,- Tiền BIDV vay của các công ty con,-,(5.786),,,-5786.0
Các công ty con,Các công ty con,Các công ty con,- Phải thu các công ty con,320.790,-,,320790.0,
Các công tyliên doanh,Các công tyliên doanh,Các công tyliên doanh,- Tiền gửi của các công ty liên doanh,-,(1.985.692),,,-1985692.0
Các công tyliên doanh,Các công tyliên doanh,Các công tyliên doanh,- Tiền gửi của BIDV tại các công ty liên doanh,2.047.987,-,,2047987.0,
Các công tyliên doanh,Các công tyliên doanh,Các công tyliên doanh,- Tiền vay từ BIDV của các công ty liên doanh,97.724,-,,97724.0,
Các công tyliên kết,Các công tyliên kết,Các công tyliên kết,- Tiền gửi tại BIDV của các công ty liên kết,-,(927.273),,,-927273.0
Các công tyliên kết,Các công tyliên kết,Các công tyliên kết,- Tiền vay từ BIDV của các công ty liên kết,610.587,-,,610587.0,
