row_label_raw,row_label_full,Khoản mục,Số đã trình bày trước đây > Triệu VND,Điều chỉnh > Triệu VND,Số trình bày lại > Triệu VND,numeric__Số đã trình bày trước đây > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Số trình bày lại > Triệu VND
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhập tương tự,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,87.487.692,(234.893),87.252.799,87487692.0,-234893.0,87252799.0
Chi phí lãi và các chi phí tương tự,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(54.091.700),(124),(54.091.824),-54091700.0,-124.0,-54091824.0
Thu nhập lãi thuần,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi thuần,Thu nhập lãi thuần,33.395.992,(235.017),33.160.975,33395992.0,-235017.0,33160975.0
Thu nhập từ hoạt động dịch vụ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,5.012.060,(13.371),4.998.689,5012060.0,-13371.0,4998689.0
Lãi thuần từ hoạt động dịch vụ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,3.006.922,(13.371),2.993.551,3006922.0,-13371.0,2993551.0
Lãi thuần từ mua bán chứng khoán đầu tư,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,239.309,750,240.059,239309.0,750.0,240059.0
Chi phí từ hoạt động khác,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.509.893),404,(1.509.489),-1509893.0,404.0,-1509489.0
Lãi thuần từ hoạt động khác,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.571.898,404,3.572.302,3571898.0,404.0,3572302.0
Tổng thu nhập hoạt động,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,41.930.698,(247.234),41.683.464,41930698.0,-247234.0,41683464.0
Chi phí nhân viên,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí nhân viên,Chi phí nhân viên,(8.255.569),101.677,(8.153.892),-8255569.0,101677.0,-8153892.0
Chi phí khấu hao và khấu trừ,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(861.028),(42),(861.070),-861028.0,-42.0,-861070.0
Chi phí hoạt động khác,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí hoạt động khác,Chi phí hoạt động khác,(5.637.133),(402),(5.637.535),-5637133.0,-402.0,-5637535.0
Tổng chi phí hoạt động,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Tổng chi phí hoạt động,Tổng chi phí hoạt động,(14.753.730),101.233,(14.652.497),-14753730.0,101233.0,-14652497.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,27.176.968,(146.001),27.030.967,27176968.0,-146001.0,27030967.0
Chi phí dự phòng rủi ro tín dụng,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(18.258.517),45.179,(18.213.338),-18258517.0,45179.0,-18213338.0
Tổng lợi nhuận trước thuế,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,8.918.451,(100.822),8.817.629,8918451.0,-100822.0,8817629.0
Chi phí thuế TNDN hiện hành,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.743.414),19.797,(1.723.617),-1743414.0,19797.0,-1723617.0
Chi phí thuế TNDN,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí thuế TNDN,Chi phí thuế TNDN,(1.743.414),19.797,(1.723.617),-1743414.0,19797.0,-1723617.0
Lợi nhuận sau thuế,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Lợi nhuận sau thuế,Lợi nhuận sau thuế,7.175.037,(81.025),7.094.012,7175037.0,-81025.0,7094012.0
