row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",4,13.521.174,9.873.791,,4.0,13521174.0,9873791.0
II.,A > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",5,132.246.971,47.600.066,,5.0,132246971.0,47600066.0
III.,A > III.,III.,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,6,58.434.946,108.893.926,,6.0,58434946.0,108893926.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,47.588.369,86.573.215,,,47588369.0,86573215.0
2.,A > 2.,2.,Cho vay các TCTD khác,,10.992.769,22.430.353,,,10992769.0,22430353.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại các TCTD khác và cho vay các TCTD khác,7,(146.192),(109.642),,7.0,-146192.0,-109642.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,8,5.445.140,104.331,,8.0,5445140.0,104331.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,5.445.140,104.331,,,5445140.0,104331.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,92.130,72.720,,9.0,92130.0,72720.0
VI.,A > VI.,VI.,Cho vay khách hàng,,1.068.036.298,943.963.034,,,1068036298.0,943963034.0
1.,A > 1.,1.,Cho vay khách hàng,10,1.081.556.050,955.456.247,,10.0,1081556050.0,955456247.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(13.519.752),(11.493.213),,11.0,-13519752.0,-11493213.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,12,136.326.360,131.006.861,,12.0,136326360.0,131006861.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,121.512.199,111.078.759,,,121512199.0,111078759.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,21.579.777,27.922.833,,,21579777.0,27922833.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(6.765.616),(7.994.731),,,-6765616.0,-7994731.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",13,7.889.074,7.976.244,,13.0,7889074.0,7976244.0
1.,A > 1.,1.,Đầu tư vào công ty con,13.1,5.829.534,5.829.534,,131.0,5829534.0,5829534.0
2.,A > 2.,2.,Vốn góp liên doanh,13.2,1.970.143,1.970.143,,132.0,1970143.0,1970143.0
3.,A > 3.,3.,Đầu tư vào công ty liên kết,13.3,244.207,244.207,,133.0,244207.0,244207.0
4.,A > 4.,4.,"Góp vốn, đầu tư dài hạn khác",,153.750,153.750,,,153750.0,153750.0
5.,A > 5.,5.,Dự phòng giảm giá đầu tư dài hạn,13.4,(308.560),(221.390),,134.0,-308560.0,-221390.0
IX.,A > IX.,IX.,Tài sản cố định,14,9.717.087,9.771.072,,14.0,9717087.0,9771072.0
1.,A > 1.,1.,Tài sản cố định hữu hình,14.1,5.576.846,5.543.246,,141.0,5576846.0,5543246.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,11.432.080,10.655.050,,,11432080.0,10655050.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(5.855.234),(5.111.804),,,-5855234.0,-5111804.0
2.,A > 2.,2.,Tài sản cố định thuê tài chính,14.2,10.685,92.654,,142.0,10685.0,92654.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,90.080,246.306,,,90080.0,246306.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(79.395),(153.652),,,-79395.0,-153652.0
3.,A > 3.,3.,Tài sản cố định vô hình,14.3,4.129.556,4.135.172,,143.0,4129556.0,4135172.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,5.537.894,5.364.635,,,5537894.0,5364635.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(1.408.338),(1.229.463),,,-1408338.0,-1229463.0
X.,A > X.,X.,Tài sản Có khác,15,19.888.859,18.845.501,,15.0,19888859.0,18845501.0
1.,A > 1.,1.,Các khoản phải thu,,7.385.615,7.000.663,,,7385615.0,7000663.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,10.875.744,10.032.082,,,10875744.0,10032082.0
3.,A > 3.,3.,Tài sản thuê thu nhập doanh nghiệp hoãn lại,,1.002,-,,,1002.0,
4.,A > 4.,4.,Tài sản có khác,,2.026.558,2.212.126,,,2026558.0,2212126.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,,(400.060),(399.370),,,-400060.0,-399370.0
,,,TỔNG TÀI SẢN,,1.451.598.039,1.278.107.546,,,1451598039.0,1278107546.0
