row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,16,108.076.414,104.761.268,,16.0,108076414.0,104761268.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,17,68.089.338,71.408.475,,17.0,68089338.0,71408475.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,24.808.244,18.606.209,,,24808244.0,18606209.0
2.,B. > 2.,2.,Vay các TCTD khác,,43.281.094,52.802.266,,,43281094.0,52802266.0
III.,B. > III.,III.,Tiền gửi của khách hàng,18,1.094.708.437,972.357.705,,18.0,1094708437.0,972357705.0
IV.,B. > IV.,IV.,"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",19,12.386.421,12.296.196,,19.0,12386421.0,12296196.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,20,62.772.362,39.791.361,,20.0,62772362.0,39791361.0
VI.,B. > VI.,VI.,Các khoản nợ khác,21,32.929.209,27.905.809,,21.0,32929209.0,27905809.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,24.362.729,20.440.514,,,24362729.0,20440514.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,,8.566.480,7.465.295,,,8566480.0,7465295.0
,,,TỔNG NỘ PHẢI TRẢ,,1.378.962.181,1.228.520.814,,,1378962181.0,1228520814.0
VII.,VII.,VII.,Vốn và các quỹ,,,,,,,
1.,VII. > 1.,1.,Vốn của Ngân hàng,23,54.512.562,34.217.459,,23.0,54512562.0,34217459.0
,,,Vốn điều lệ,,40.220.180,34.187.153,,,40220180.0,34187153.0
,,,Thặng dư vốn cổ phần,,14.292.382,30.306,,,14292382.0,30306.0
2.,VII. > 2.,2.,Quỹ của Ngân hàng,23,5.464.395,4.393.774,,23.0,5464395.0,4393774.0
3.,VII. > 3.,3.,Lợi nhuận chưa phân phối,23,12.658.901,10.975.499,,23.0,12658901.0,10975499.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,72.635.858,49.586.732,,,72635858.0,49586732.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.451.598.039,1.278.107.546,,,1451598039.0,1278107546.0
