row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động kinh doanh trước thuếTrừ:,Thu nhập từ hoạt động kinh doanh trước thuếTrừ:,Thu nhập từ hoạt động kinh doanh trước thuếTrừ:,10.308.123,8.817.629,10308123.0,8817629.0
Thu nhập từ cổ tức không chịu thuếCộng:,Thu nhập từ cổ tức không chịu thuếCộng:,Thu nhập từ cổ tức không chịu thuếCộng:,(248.738),(243.167),-248738.0,-243167.0
Chi phí khác không được khấu trừ thuế,Chi phí khác không được khấu trừ thuế,Chi phí khác không được khấu trừ thuế,33.464,43.623,33464.0,43623.0
Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,10.092.849,8.618.085,10092849.0,8618085.0
Thuế suất thuế TNDN,Thuế suất thuế TNDN,Thuế suất thuế TNDN,20%,20%,0.2,0.2
Chi phí thuế TNDN theo thuế suất,Chi phí thuế TNDN theo thuế suất,Chi phí thuế TNDN theo thuế suất,2.018.570,1.723.617,2018570.0,1723617.0
Thuế TNDN trong năm,Thuế TNDN trong năm,Thuế TNDN trong năm,2.018.570,1.723.617,2018570.0,1723617.0
Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,435.477,226.339,435477.0,226339.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(1.745.916),(1.514.479),-1745916.0,-1514479.0
Thuế TNDN phải trả thuần cuối năm,Thuế TNDN phải trả thuần cuối năm,Thuế TNDN phải trả thuần cuối năm,708.131,435.477,708131.0,435477.0
