row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,Triệu VND,Triệu VND,,
Chứng khoán Nợ,Chứng khoán Nợ,Chứng khoán Nợ,121.497.599,111.062.814,121497599.0,111062814.0
Chứng khoán Chính phủ,Chứng khoán Chính phủ,Chứng khoán Chính phủ,89.243.033,90.705.587,89243033.0,90705587.0
Chứng khoán Nợ do các TCTD khác trong nước phát hành,Chứng khoán Nợ do các TCTD khác trong nước phát hành,Chứng khoán Nợ do các TCTD khác trong nước phát hành,23.283.715,8.698.941,23283715.0,8698941.0
Chứng khoán Nợ do các TCKT trong nước phát hành,Chứng khoán Nợ do các TCKT trong nước phát hành,Chứng khoán Nợ do các TCKT trong nước phát hành,8.970.851,11.658.286,8970851.0,11658286.0
Chứng khoán Vốn,Chứng khoán Vốn,Chứng khoán Vốn,14.600,15.945,14600.0,15945.0
Chứng khoán Vốn do các TCTD khác trong nước phát hành,Chứng khoán Vốn do các TCTD khác trong nước phát hành,Chứng khoán Vốn do các TCTD khác trong nước phát hành,14.600,14.600,14600.0,14600.0
Chứng khoán Vốn do các TCKT trong nước phát hành,Chứng khoán Vốn do các TCKT trong nước phát hành,Chứng khoán Vốn do các TCKT trong nước phát hành,-,1.345,,1345.0
Dự phòng rủi ro chứng khoán sẵn sàng để bán,Dự phòng rủi ro chứng khoán sẵn sàng để bán,Dự phòng rủi ro chứng khoán sẵn sàng để bán,(155.445),(155.023),-155445.0,-155023.0
Dự phòng giảm giá,Dự phòng giảm giá,Dự phòng giảm giá,-,(13.640),,-13640.0
Dự phòng chung,Dự phòng chung,Dự phòng chung,(155.445),(141.383),-155445.0,-141383.0
,,,121.356.754,110.923.736,121356754.0,110923736.0
