row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,24,98.037.233,87.252.799,,24.0,98037233.0,87252799.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,25,(63.359.513),(54.091.824),,25.0,-63359513.0,-54091824.0
I,I,I,Thu nhập lãi thuần,,34.677.720,33.160.975,,,34677720.0,33160975.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,5.987.897,4.998.689,,,5987897.0,4998689.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(2.318.903),(2.005.138),,,-2318903.0,-2005138.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,26,3.668.994,2.993.551,,26.0,3668994.0,2993551.0
III,III,III,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hỏi,27,1.460.701,980.595,,27.0,1460701.0,980595.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,28.1,264.815,476.315,,281.0,264815.0,476315.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,28.2,481.702,240.059,,282.0,481702.0,240059.0
5.,5.,5.,Thu nhập từ hoạt động khác,,6.386.152,5.081.791,,,6386152.0,5081791.0
6.,6.,6.,Chi phí từ hoạt động khác,,(1.141.181),(1.509.489),,,-1141181.0,-1509489.0
VI,VI,VI,Lãi thuần từ hoạt động khác,29,5.244.971,3.572.302,,29.0,5244971.0,3572302.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",30,248.738,259.667,,30.0,248738.0,259667.0
,,,Tổng thu nhập hoạt động,,46.047.641,41.683.464,,,46047641.0,41683464.0
7.,7.,7.,Chi phí nhân viên,,(9.081.798),(8.153.892),,,-9081798.0,-8153892.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(912.640),(861.070),,,-912640.0,-861070.0
9.,9.,9.,Chi phí hoạt động khác,,(6.046.620),(5.637.535),,,-6046620.0,-5637535.0
VIII,VIII,VIII,Tổng chi phí hoạt động,31,(16.041.058),(14.652.497),,31.0,-16041058.0,-14652497.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,30.006.583,27.030.967,,,30006583.0,27030967.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,"7, 11, 12.6",(19.698.460),(18.213.338),,,-19698460.0,-18213338.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,10.308.123,8.817.629,,,10308123.0,8817629.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,32,(2.018.570),(1.723.617),,32.0,-2018570.0,-1723617.0
11.,11.,11.,Thu nhập thuế TNDN hoãn lại,,1.002,,,,1002.0,
XII,XII,XII,Chi phí thuế TNDN,,(2.017.568),(1.723.617),,,-2017568.0,-1723617.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,8.290.555,7.094.012,,,8290555.0,7094012.0
