row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.023.762,1.339.436,1.437,5.364.635,4023762.0,1339436.0,1437.0,5364635.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,112.201,29.782,985,142.968,112201.0,29782.0,985.0,142968.0
Tăng khác,Nguyên giá TSCĐ vô hình > Tăng khác,Tăng khác,-,33.182,-,33.182,,33182.0,,33182.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.891),-,(2.891),,-2891.0,,-2891.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.135.963,1.399.509,2.422,5.537.894,4135963.0,1399509.0,2422.0,5537894.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,290.696,938.564,203,1.229.463,290696.0,938564.0,203.0,1229463.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,35.570,145.608,81,181.259,35570.0,145608.0,81.0,181259.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,44,463,-,507,44.0,463.0,,507.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.891),-,(2.891),,-2891.0,,-2891.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,326.310,1.081.744,284,1.408.338,326310.0,1081744.0,284.0,1408338.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,3.733.066,400.872,1.234,4.135.172,3733066.0,400872.0,1234.0,4135172.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,3.809.653,317.765,2.138,4.129.556,3809653.0,317765.0,2138.0,4129556.0
