row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dưvốn cổ phần,Quỹ dựphòngtài chính,Quỹ dự trữbố sungvốn điều lệ,Lợi nhuậnchưa phân phối(Trình bày lại),Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dưvốn cổ phần,numeric__Quỹ dựphòngtài chính,numeric__Quỹ dự trữbố sungvốn điều lệ,numeric__Lợi nhuậnchưa phân phối(Trình bày lại),numeric__Tổng cộng
,,,Số dư đầu năm,Triệu VND34.187.153,Triệu VND30.306,Triệu VND2.928.092,Triệu VND1.465.682,Triệu VND10.975.499,,,,,,
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,6.033.027,14.262.076,-,-,-,20.295.103,6033027.0,14262076.0,,,,20295103.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,8.290.555,8.290.555,,,,,8290555.0,8290555.0
Trích các quỹ theo Nghị quyết Đại hộiđồng Cổ đông 2019,Trích các quỹ theo Nghị quyết Đại hộiđồng Cổ đông 2019,Trích các quỹ theo Nghị quyết Đại hộiđồng Cổ đông 2019,-,-,714.000,357.000,(1.071.000),-,,,714000.0,357000.0,-1071000.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(379),-,-,(379),,,-379.0,,,-379.0
"Tam trích quỹ khen thưởng, phúc lợi","Tam trích quỹ khen thưởng, phúc lợi","Tam trích quỹ khen thưởng, phúc lợi",-,-,-,-,(750.000),(750.000),,,,,-750000.0,-750000.0
Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,-,-,-,-,(4.786.201),(4.786.201),,,,,-4786201.0,-4786201.0
Các khoản tăng khác trong năm,Các khoản tăng khác trong năm,Các khoản tăng khác trong năm,-,-,-,-,48,48,,,,,48.0,48.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.220.180,14.292.382,3.641.713,1.822.682,12.658.901,72.635.858,40220180.0,14292382.0,3641713.0,1822682.0,12658901.0,72635858.0
