row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,536.881,441.659,536881.0,441659.0
Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,4.677.684,3.952.643,4677684.0,3952643.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"- Phải thu từ các công ty con, liên doanh liên kết về cổ phần hóa","Trong đó: > - Phải thu từ các công ty con, liên doanh liên kết về cổ phần hóa","- Phải thu từ các công ty con, liên doanh liên kết về cổ phần hóa",123.220,123.220,123220.0,123220.0
- Phải thu trung gian thanh toán,Trong đó: > - Phải thu trung gian thanh toán,- Phải thu trung gian thanh toán,1.807.494,1.433.982,1807494.0,1433982.0
"- Ký quỹ, thể chấp, đặt cọc","Trong đó: > - Ký quỹ, thể chấp, đặt cọc","- Ký quỹ, thể chấp, đặt cọc",192.941,175.523,192941.0,175523.0
- Phải thu trong nghiệp vụ tài trợ thường mại,Trong đó: > - Phải thu trong nghiệp vụ tài trợ thường mại,- Phải thu trong nghiệp vụ tài trợ thường mại,1.124.549,1.070.512,1124549.0,1070512.0
- Phải thu từ NHNN về cho vay hỗ trợ lãi suất,Trong đó: > - Phải thu từ NHNN về cho vay hỗ trợ lãi suất,- Phải thu từ NHNN về cho vay hỗ trợ lãi suất,581.156,476.105,581156.0,476105.0
,,,5.214.565,4.394.302,5214565.0,4394302.0
