row_label_raw,row_label_full,col_0,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng,numeric__Quá hạn,numeric__Không chịu rủi ro lãi suất do định giá lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng
,,,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,13.521.174,-,-,-,-,-,-,13.521.174,,13521174.0,,,,,,,13521174.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,95.916.886,36.330.085,-,-,-,-,-,132.246.971,,95916886.0,36330085.0,,,,,,132246971.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),1.026,-,47.918.768,6.469.955,3.746.819,444.570,-,-,58.581.138,1026.0,,47918768.0,6469955.0,3746819.0,444570.0,,,58581138.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,-,5.445.140,-,-,5.445.140,,,,,,5445140.0,,,5445140.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,8.826,75.589,23.226,-,-,107.641,,,,8826.0,75589.0,23226.0,,,107641.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),20.112.382,-,271.589.858,385.555.465,281.537.295,91.325.696,19.765.047,11.670.307,1.081.556.050,20112382.0,,271589858.0,385555465.0,281537295.0,91325696.0,19765047.0,11670307.0,1081556050.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),623.000,14.600,1.592.353,3.840.246,23.082.240,16.438.345,36.018.910,61.482.282,143.091.976,623000.0,14600.0,1592353.0,3840246.0,23082240.0,16438345.0,36018910.0,61482282.0,143091976.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,8.197.634,-,-,-,-,-,-,8.197.634,,8197634.0,,,,,,,8197634.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,9.717.087,-,-,-,-,-,-,9.717.087,,9717087.0,,,,,,,9717087.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),400.060,19.888.859,-,-,-,-,-,-,20.288.919,400060.0,19888859.0,,,,,,,20288919.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,21.136.468,147.256.240,357.431.064,395.874.492,308.441.943,113.676.977,55.783.957,73.152.589,1.472.753.730,21136468.0,147256240.0,357431064.0,395874492.0,308441943.0,113676977.0,55783957.0,73152589.0,1472753730.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,65.639.331,72.016.680,32.663.559,5.537.322,-,308.860,176.165.752,,,65639331.0,72016680.0,32663559.0,5537322.0,,308860.0,176165752.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,387.945.700,208.353.512,227.089.344,246.222.974,24.996.907,100.000,1.094.708.437,,,387945700.0,208353512.0,227089344.0,246222974.0,24996907.0,100000.0,1094708437.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,15.511,-,-,-,-,-,15.511,,,15511.0,,,,,,15511.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,8.974.570,1.604.226,124.045,1.264.698,312.200,106.682,12.386.421,,,8974570.0,1604226.0,124045.0,1264698.0,312200.0,106682.0,12386421.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.699.511,1.535.435,3.585.936,43.357.304,3.334.115,9.260.061,62.772.362,,,1699511.0,1535435.0,3585936.0,43357304.0,3334115.0,9260061.0,62772362.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,32.929.209,-,-,-,-,-,-,32.929.209,,32929209.0,,,,,,,32929209.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,32.929.209,464.274.623,283.509.853,263.462.884,296.382.298,28.643.222,9.775.603,1.378.977.692,,32929209.0,464274623.0,283509853.0,263462884.0,296382298.0,28643222.0,9775603.0,1378977692.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,21.136.468,114.327.031,(106.843.559),112.364.639,44.979.059,(182.705.321),27.140.735,63.376.986,93.776.038,21136468.0,114327031.0,-106843559.0,112364639.0,44979059.0,-182705321.0,27140735.0,63376986.0,93776038.0
Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,,,,,,,,,
