row_label_raw,row_label_full,Khoản mục,Số đã trình bày trước đây,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày trước đây,numeric__Điều chỉnh,numeric__Số trình bày lại
,,,Triệu VND,Triệu VND,Triệu VND,,,
BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,,,
Cho vay khách hàng,BẢNG CÂN ĐỐI KẾ TOÁN > Cho vay khách hàng,Cho vay khách hàng,943.962.452,582,943.963.034,943962452.0,582.0,943963034.0
Dự phòng rủi ro cho vay khách hàng,BẢNG CÂN ĐỐI KẾ TOÁN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(11.493.795),582,(11.493.213),-11493795.0,582.0,-11493213.0
Chứng khoán đầu tư,BẢNG CÂN ĐỐI KẾ TOÁN > Chứng khoán đầu tư,Chứng khoán đầu tư,130.961.514,45.347,131.006.861,130961514.0,45347.0,131006861.0
Dự phòng rủi ro chứng khoán đầu tư,BẢNG CÂN ĐỐI KẾ TOÁN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,(8.040.078),45.347,(7.994.731),-8040078.0,45347.0,-7994731.0
"Góp vốn, đầu tư dài hạn","BẢNG CÂN ĐỐI KẾ TOÁN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",7.977.576,(1.332),7.976.244,7977576.0,-1332.0,7976244.0
Dự phòng giảm giá đầu tư dài hạn,BẢNG CÂN ĐỐI KẾ TOÁN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(220.058),(1.332),(221.390),-220058.0,-1332.0,-221390.0
Tài sản cố định,BẢNG CÂN ĐỐI KẾ TOÁN > Tài sản cố định,Tài sản cố định,9.708.805,62.267,9.771.072,9708805.0,62267.0,9771072.0
Tài sản cố định hữu hình,BẢNG CÂN ĐỐI KẾ TOÁN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.480.979,62.267,5.543.246,5480979.0,62267.0,5543246.0
Nguyễn giá tài sản cố định,BẢNG CÂN ĐỐI KẾ TOÁN > Nguyễn giá tài sản cố định,Nguyễn giá tài sản cố định,10.594.191,60.859,10.655.050,10594191.0,60859.0,10655050.0
Hao mòn tài sản cố định,BẢNG CÂN ĐỐI KẾ TOÁN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,(5.113.212),1.408,(5.111.804),-5113212.0,1408.0,-5111804.0
Tài sản Có khác,BẢNG CÂN ĐỐI KẾ TOÁN > Tài sản Có khác,Tài sản Có khác,19.130.017,(284.516),18.845.501,19130017.0,-284516.0,18845501.0
Các khoản phải thu,BẢNG CÂN ĐỐI KẾ TOÁN > Các khoản phải thu,Các khoản phải thu,7.002.366,(1.703),7.000.663,7002366.0,-1703.0,7000663.0
"Các khoản lãi, phí phải thu","BẢNG CÂN ĐỐI KẾ TOÁN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",10.256.461,(224.379),10.032.082,10256461.0,-224379.0,10032082.0
Tài sản có khác,BẢNG CÂN ĐỐI KẾ TOÁN > Tài sản có khác,Tài sản có khác,2.270.560,(58.434),2.212.126,2270560.0,-58434.0,2212126.0
TỔNG TÀI SẢN,BẢNG CÂN ĐỐI KẾ TOÁN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,1.278.285.198,(177.652),1.278.107.546,1278285198.0,-177652.0,1278107546.0
Các khoản nợ khác,BẢNG CÂN ĐỐI KẾ TOÁN > Các khoản nợ khác,Các khoản nợ khác,28.002.436,(96.627),27.905.809,28002436.0,-96627.0,27905809.0
Các khoản phải trả và công nợ khác,BẢNG CÂN ĐỐI KẾ TOÁN > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,7.561.922,(96.627),7.465.295,7561922.0,-96627.0,7465295.0
TỔNG NỘ PHẢI TRẢ,BẢNG CÂN ĐỐI KẾ TOÁN > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,1.228.617.441,(96.627),1.228.520.814,1228617441.0,-96627.0,1228520814.0
Lợi nhuận sau thuế chưa phân phối,BẢNG CÂN ĐỐI KẾ TOÁN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,11.056.524,(81.025),10.975.499,11056524.0,-81025.0,10975499.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,BẢNG CÂN ĐỐI KẾ TOÁN > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,1.278.285.198,(177.652),1.278.107.546,1278285198.0,-177652.0,1278107546.0
