row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,3.165.341,2.144.039,3165341.0,2144039.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Phải trả nhân viên,Trong đó: > - Phải trả nhân viên,- Phải trả nhân viên,2.491.693,1.882.802,2491693.0,1882802.0
Các khoản phải trả bên ngoài,Trong đó: > Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,27.918.549,23.222.573,27918549.0,23222573.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Các khoản lãi và phí phải trả,Trong đó: > - Các khoản lãi và phí phải trả,- Các khoản lãi và phí phải trả,24.362.729,20.440.514,24362729.0,20440514.0
- Thuế và các khoản phải trả khác cho ngân sách Nhà nước (Thuyết minh số 22),Trong đó: > - Thuế và các khoản phải trả khác cho ngân sách Nhà nước (Thuyết minh số 22),- Thuế và các khoản phải trả khác cho ngân sách Nhà nước (Thuyết minh số 22),996.381,765.340,996381.0,765340.0
"Quỹ khen thưởng, phúc lợi","Trong đó: > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",1.845.319,2.539.197,1845319.0,2539197.0
,,,32.929.209,27.905.809,32929209.0,27905809.0
