row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,Tổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,,,
Số dư đầu năm,Nguyên giá TSCĐ thuê tài chính > Số dư đầu năm,Số dư đầu năm,96.238,150.068,246.306,96238.0,150068.0,246306.0
Mua lại TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,(37.112),(119.406),(156.518),-37112.0,-119406.0,-156518.0
Tăng khác,Nguyên giá TSCĐ thuê tài chính > Tăng khác,Tăng khác,292,-,292,292.0,,292.0
Số dư cuối năm,Nguyên giá TSCĐ thuê tài chính > Số dư cuối năm,Số dư cuối năm,59.418,30.662,90.080,59418.0,30662.0,90080.0
Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,,,
Số dư đầu năm,Giá trị hao mòn lũy kê > Số dư đầu năm,Số dư đầu năm,67.055,86.597,153.652,67055.0,86597.0,153652.0
Khẩu hao trong năm,Giá trị hao mòn lũy kê > Khẩu hao trong năm,Khẩu hao trong năm,10.505,8.362,18.867,10505.0,8362.0,18867.0
Mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kê > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,(21.058),(72.066),(93.124),-21058.0,-72066.0,-93124.0
Số dư cuối năm,Giá trị hao mòn lũy kê > Số dư cuối năm,Số dư cuối năm,56.502,22.893,79.395,56502.0,22893.0,79395.0
Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ thuê tài chính > Số dư đầu năm,Số dư đầu năm,29.183,63.471,92.654,29183.0,63471.0,92654.0
Số dư cuối năm,Giá trị còn lại của TSCĐ thuê tài chính > Số dư cuối năm,Số dư cuối năm,2.916,7.769,10.685,2916.0,7769.0,10685.0
