row_label_raw,row_label_full,Đối tượng > Công ty TNHH MTV Năng lượng GELEX Ninh Thuận,Số tiền (VND) > 460.625.000.000,"Thời hạn vay/Lãi suất > Thời hạn trả gốc vay cuối cùng ngày 31 tháng 12 năm 2029 với lãi suất 9,5%/năm",numeric__Số tiền (VND) > 460.625.000.000,"numeric__Thời hạn vay/Lãi suất > Thời hạn trả gốc vay cuối cùng ngày 31 tháng 12 năm 2029 với lãi suất 9,5%/năm"
,,,460.625.000.000,,460625000000.0,
Trong đó:Cho vay dài hạn đến hạn thu,Trong đó:Cho vay dài hạn đến hạn thu,Trong đó:Cho vay dài hạn đến hạn thu,88.500.000.000,,88500000000.0,
Cho vay dài hạn,Cho vay dài hạn,Cho vay dài hạn,372.125.000.000,,372125000000.0,
