row_label_raw,row_label_full,STT,Tên công ty con,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
5.,5.,5.,Công ty Cổ phần Sử Viglacera Thanh Trì,Hà Nội,"59,96%","59,96%",Sản xuất và kinh doanh sử vệ sinh và phụ kiện,,,0.5996,0.5996,
6.,6.,6.,Công ty Cổ phần Thương mại Viglacera,Hà Nội,"76,23%","85,95%","Kinh doanh sử vệ sinh, sen vòi và vật liệu xây dựng",,,0.7623000000000001,0.8595,
7.,7.,7.,Công ty Cổ phần Viglacera Thăng Long,Vĩnh Phúc,"51,07%","51,07%",Sản xuất và kinh doanh gạch ốp lát,,,0.5107,0.5107,
8.,8.,8.,Công ty Cổ phần Viglacera Tiên Sơn,Bắc Ninh,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
9.,9.,9.,Công ty Cổ phần Viglacera Hà Nội,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.51,0.51,
10.,10.,10.,Công ty Cổ phần Bê tông khí Viglacera,Bắc Ninh,"96,19%","96,19%","Sản xuất gạch, panel, bê tông khí chung áp và kinh doanh",,,0.9619,0.9619,
11.,11.,11.,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00%","Sản xuất và kinh doanh bao bì, má phanh",,,0.51,0.51,
12.,12.,12.,Công ty Cổ phần Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5047999999999999,0.5047999999999999,
12.1,12.1,12.1,Công ty TNHH MTV Thương mại Viglacera Hạ Long (*),Quảng Ninh,"50,48%","100,00%",Kinh doanh vột liệu xây dựng,,,0.5047999999999999,1.0,
12.2,12.2,12.2,Công ty Cổ phần Gạch Clinker Viglacera (*),Quảng Ninh,"50,44%","99,92%",Sản xuất vột liệu xây dựng và kinh doanh,,,0.5044,0.9992,
13.,13.,13.,Công ty Cổ phần Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.5592,0.5592,
13.1,13.1,13.1,Công ty Cổ phần Viglacera Can Lộc (*),Hà Tĩnh,"57,51%","100,00%",Sản xuất vột liệu xây dựng,,,0.5751,1.0,
14.,14.,14.,Công ty Cổ phần 382 Đông Anh,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
15.,15.,15.,Công ty Cổ phần Gốm xây dựng Hữu Hưng,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.51,0.51,
16.,16.,16.,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,,0.7689,0.7689,
17.,17.,17.,Công ty TNHH CHAO - Viglacera,Hà Nội,"100,00%","100,00%","Dịch vụ, du lịch, nhà hàng",,,1.0,1.0,
18.,18.,18.,Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ,Hưng Yên,"60,00%","60,00%",Đầu tư xây dựng và kinh doanh hạ tầng khu công nghiệp,,,0.6,0.6,
18.1,18.1,18.1,Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ (*),Hưng Yên,"60,00%","100,00%",Đầu tư xây dựng,,,0.6,1.0,
19.,19.,19.,Công ty ViMariel - CTCP,Cuba,"99,93%","99,95%",Kinh doanh hạ tầng khu công nghiệp,,,0.9993000000000001,0.9995,
20.,20.,20.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Bà Rịa - Vũng Tàu,"65,00%","65,00%",Sản xuất và kinh doanh các sản phẩm kính,,,0.65,0.65,
21.,21.,21.,Công ty Cổ phần kinh doanh Gạch ốp lát Viglacera (*),Hà Nội,"51,02%",100%,Kinh doanh các sản phẩm gạch ốp lát,,,0.5102,1.0,
22.,22.,22.,Công ty Cổ phần Viglacera Thái Nguyên (**),Thái Nguyên,"51,00%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.51,0.51,
