row_label_raw,row_label_full,STT,Đơn vị bảo lãnh/tư vấn phát hành,Số cuối năm (VND),Số đầu năm (VND),numeric__Đơn vị bảo lãnh/tư vấn phát hành,numeric__Số cuối năm (VND),numeric__Số đầu năm (VND)
,,,Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,1.150.000.000.000,,1150000000000.0,1150000000000.0
1.,1.,1.,Công ty Cổ phần Chứng khoán VIX,600.000.000.000,800.000.000.000,,600000000000.0,800000000000.0
2.,2.,2.,Công ty Cổ phần Chứng khoán VIX,600.000.000.000,800.000.000.000,,600000000000.0,800000000000.0
3.,3.,3.,Công ty Cổ phần chứng khoán SSI,-,179.100.000.000,,,179100000000.0
4.,4.,4.,Công ty TNHH Chứng khoán Shinhan Việt Nam,-,700.000.000.000,,,700000000000.0
5.,5.,5.,Chi phí phát hành trái phiếu,(20.896.904.989),(31.129.158.702),,-20896904989.0,-31129158702.0
,,,Tổng cộng,1.729.103.095.011,2.797.970.841.298,,1729103095011.0,2797970841298.0
