row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VNDGiá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > VNDGiá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VNDGiá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VNDGiá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,9.251.837.076.877,-,,9.253.837.076.877,-,,9251837076877.0,,,9253837076877.0,,
Công ty Cổ phần Hạ tầng GELEX (i),Công ty Cổ phần Hạ tầng GELEX (i),Công ty Cổ phần Hạ tầng GELEX (i),6.848.316.883.509,-,(i),6.850.316.883.509,-,(i),6848316883509.0,,,6850316883509.0,,
Công ty Cổ phần Điện lực GELEX (ii),Công ty Cổ phần Điện lực GELEX (ii),Công ty Cổ phần Điện lực GELEX (ii),2.403.520.193.368,-,7.439.863.600.000,2.403.520.193.368,-,7.439.863.600.000,2403520193368.0,,7439863600000.0,2403520193368.0,,7439863600000.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,445.156.705.096,-,,-,-,,445156705096.0,,,,,
Công ty TNHH Titan Corporation (i) (iii),Công ty TNHH Titan Corporation (i) (iii),Công ty TNHH Titan Corporation (i) (iii),445.156.705.096,-,(i),-,-,,445156705096.0,,,,,
,,,9.696.993.781.973,-,,9.253.837.076.877,-,,9696993781973.0,,,9253837076877.0,,
