row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,633.737.651.360,633.737.651.360,4.780.295.419.640,3.744.546.503.695,1.669.486.567.305,1.669.486.567.305,633737651360.0,633737651360.0,4780295419640.0,3744546503695.0,1669486567305.0,1669486567305.0
Vay ngắn hạn ngân hàng (i),Vay ngắn hạn ngân hàng (i),Vay ngắn hạn ngân hàng (i),533.737.651.360,533.737.651.360,2.291.352.116.329,1.305.603.200.384,1.519.486.567.305,1.519.486.567.305,533737651360.0,533737651360.0,2291352116329.0,1305603200384.0,1519486567305.0,1519486567305.0
Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),100.000.000.000,100.000.000.000,1.100.000.000.000,1.050.000.000.000,150.000.000.000,150.000.000.000,100000000000.0,100000000000.0,1100000000000.0,1050000000000.0,150000000000.0,150000000000.0
Vay ngắn hạn công ty khác,Vay ngắn hạn công ty khác,Vay ngắn hạn công ty khác,-,-,1.388.943.303.311,1.388.943.303.311,-,-,,,1388943303311.0,1388943303311.0,,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.126.625.185.011,1.126.625.185.011,752.474.814.989,1.083.724.999.986,795.375.000.014,795.375.000.014,1126625185011.0,1126625185011.0,752474814989.0,1083724999986.0,795375000014.0,795375000014.0
Vay ngân hàng dài hạn đến hạn trả (i),Vay ngân hàng dài hạn đến hạn trả (i),Vay ngân hàng dài hạn đến hạn trả (i),50.000.000.000,50.000.000.000,150.000.000.000,-,200.000.000.000,200.000.000.000,50000000000.0,50000000000.0,150000000000.0,,200000000000.0,200000000000.0
Trái phiếu dài hạn đến hạn trả (ii),Trái phiếu dài hạn đến hạn trả (ii),Trái phiếu dài hạn đến hạn trả (ii),1.076.625.185.011,1.076.625.185.011,602.474.814.989,1.083.724.999.986,595.375.000.014,595.375.000.014,1076625185011.0,1076625185011.0,602474814989.0,1083724999986.0,595375000014.0,595375000014.0
,,,1.760.362.836.371,1.760.362.836.371,5.532.770.234.629,4.828.271.503.681,2.464.861.567.319,2.464.861.567.319,1760362836371.0,1760362836371.0,5532770234629.0,4828271503681.0,2464861567319.0,2464861567319.0
,,,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm,,,,,,
,,,Giá trị,VND Số có khả năng trả nợ,Tăng,VND Giảm,Giá trị,VND Số có khả năng trả nợ,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,,,,,
Vay dài hạn ngân hàng (i),Vay dài hạn > Vay dài hạn ngân hàng (i),Vay dài hạn ngân hàng (i),150.000.000.000,150.000.000.000,400.000.000.000,150.000.000.000,400.000.000.000,400.000.000.000,150000000000.0,150000000000.0,400000000000.0,150000000000.0,400000000000.0,400000000000.0
Vay dài hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay dài hạn > Vay dài hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay dài hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),-,-,840.000.000.000,-,840.000.000.000,840.000.000.000,,,840000000000.0,,840000000000.0,840000000000.0
Trái phiếu phát hành (ii),Vay dài hạn > Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),1.721.345.656.287,1.721.345.656.287,12.382.438.710,600.000.000.000,1.133.728.094.997,1.133.728.094.997,1721345656287.0,1721345656287.0,12382438710.0,600000000000.0,1133728094997.0,1133728094997.0
,,,1.871.345.656.287,1.871.345.656.287,1.252.382.438.710,750.000.000.000,2.373.728.094.997,2.373.728.094.997,1871345656287.0,1871345656287.0,1252382438710.0,750000000000.0,2373728094997.0,2373728094997.0
