row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND Dự phòng,Số cuối năm > Giá gốc_1,Số cuối năm > Giá trị hợp lý_1,Số đầu năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Giá trị hợp lý_1,numeric__Số đầu năm > VND Dự phòng
Trái phiếu,Trái phiếu,Trái phiếu,590.000.000.000,(i),-,1.100.000.000.000,(i),-,590000000000.0,,,1100000000000.0,,
Chứng chỉ tiền gửi (ii),Chứng chỉ tiền gửi (ii),Chứng chỉ tiền gửi (ii),600.000.000.000,(i),-,-,-,-,600000000000.0,,,,,
Cổ phiếu (iii),Cổ phiếu (iii),Cổ phiếu (iii),2.145.241.177.454,2.114.071.789.200,(31.239.176.854),769.754.643.884,767.229.243.884,(2.525.400.000),2145241177454.0,2114071789200.0,-31239176854.0,769754643884.0,767229243884.0,-2525400000.0
,,,3.335.241.177.454,,(31.239.176.854),1.869.754.643.884,,(2.525.400.000),3335241177454.0,,-31239176854.0,1869754643884.0,,-2525400000.0
