row_label_raw,row_label_full,S,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,654.201.763.660,716.360.731.420,,1.0,654201763660.0,716360731420.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
2.,2. > 2.,2.,Khấu hao tài sản cố định và bắt động sản đầu tư,02,19.466.165.280,17.980.339.505,,2.0,19466165280.0,17980339505.0
2.,2. > 2.,2.,Các khoản dự phòng,03,28.715.753.254,(13.585.765.824),,3.0,28715753254.0,-13585765824.0
2.,2. > 2.,2.,Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(465.096.952),(545.708.925),,4.0,-465096952.0,-545708925.0
2.,2. > 2.,2.,Lãi từ hoạt động đầu tư,05,(1.057.030.041.146),(1.334.762.046.003),,5.0,-1057030041146.0,-1334762046003.0
2.,2. > 2.,2.,Chi phí lãi vay và phát hành trái phiếu,06,374.086.412.245,362.101.679.577,,6.0,374086412245.0,362101679577.0
3.,2. > 3.,3.,Lợi nhuận/(Lỗ) từ hoạt động kinh doanh trước thay đối vốn lưu động,08,18.974.956.341,(252.450.770.250),,8.0,18974956341.0,-252450770250.0
3.,2. > 3.,3.,(Tăng)/giảm các khoản phải thu,09,(231.399.034.150),1.073.739.151.697,,9.0,-231399034150.0,1073739151697.0
3.,2. > 3.,3.,Giảm hàng tồn kho,10,5.400.439.927,275.073.432.729,,10.0,5400439927.0,275073432729.0
3.,2. > 3.,3.,Tăng/(giảm) các khoản phải trả (Không kể thuế thu nhập doanh nghiệp phải nộp),11,558.898.374.452,(2.022.444.885.756),,11.0,558898374452.0,-2022444885756.0
3.,2. > 3.,3.,(Tăng)/giảm chi phí trả trước,12,(5.127.056.413),4.735.983.481,,12.0,-5127056413.0,4735983481.0
3.,2. > 3.,3.,(Tăng)/giảm chứng khoán kinh doanh,13,(1.465.486.533.570),2.451.089.996.229,,13.0,-1465486533570.0,2451089996229.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(373.422.311.058),(416.983.123.521),,14.0,-373422311058.0,-416983123521.0
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(6.748.146.166),(2.397.017.746),,15.0,-6748146166.0,-2397017746.0
3.,2. > 3.,3.,Tiền chi khác cho hoạt động kinh doanh,17,(2.306.510.833),(2.397.692.000),,17.0,-2306510833.0,-2397692000.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(1.501.215.821.470),1.107.965.074.863,,20.0,-1501215821470.0,1107965074863.0
II.,II.,II.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(299.509.853.477),(421.424.974.592),,21.0,-299509853477.0,-421424974592.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,20.562.203.781,,22.0,,20562203781.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(942.517.021.335),(1.086.000.000.000),,23.0,-942517021335.0,-1086000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,743.750.000.000,2.478.350.000.000,,24.0,743750000000.0,2478350000000.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(445.156.705.096),(720.000.000.000),,25.0,-445156705096.0,-720000000000.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,,52.693.000.000,,26.0,,52693000000.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,1.068.677.068.147,1.449.867.805.736,,27.0,1068677068147.0,1449867805736.0
7.,II. > 7.,7.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,125.243.488.239,1.774.048.034.925,,30.0,125243488239.0,1774048034925.0
