row_label_raw,row_label_full,col_0,col_1,01/01/2023 > Giá trị,01/01/2023 > Số có khả năngtrả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2023 > Giá trị,31/12/2023 > Số có khả năngtrả nợ,numeric__col_1,numeric__01/01/2023 > Giá trị,numeric__01/01/2023 > Số có khả năngtrả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2023 > Giá trị,numeric__31/12/2023 > Số có khả năngtrả nợ
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,,
,,,+ Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh Đắk Lắk (13),12.708.333.310,12.708.333.310,2.500.000.008,5.000.000.016,10.208.333.302,10.208.333.302,,12708333310.0,12708333310.0,2500000008.0,5000000016.0,10208333302.0,10208333302.0
,,,+ Ngân hàng TMCP Tiên Phong (14),250.000.000.000,250.000.000.000,-,83.333.333.334,166.666.666.666,166.666.666.666,,250000000000.0,250000000000.0,,83333333334.0,166666666666.0,166666666666.0
,,,+ Công ty Cổ phần Xuất Nhập Khẩu Tổng hợp I Việt Nam (15),19.734.299.996,19.734.299.996,-,-,19.734.299.996,19.734.299.996,,19734299996.0,19734299996.0,,,19734299996.0,19734299996.0
,,,+ Ngân hàng TMCP Việt Á - Chi nhánh Thành phố Hồ Chí Minh,177.500.000.000,177.500.000.000,-,177.500.000.000,-,-,,177500000000.0,177500000000.0,,177500000000.0,,
,,,+ Trái phiếu thường,90.732.835.046,90.732.835.046,-,90.732.835.046,-,-,,90732835046.0,90732835046.0,,90732835046.0,,
,,,,550.675.468.352,550.675.468.352,2.500.000.008,356.566.168.396,196.609.299.964,196.609.299.964,,550675468352.0,550675468352.0,2500000008.0,356566168396.0,196609299964.0,196609299964.0
,,,Khoản đến hạn trả trong vòng 12 tháng,(312.399.501.721),(312.399.501.721),(127.500.000.009),(354.066.168.388),(85.833.333.342),(85.833.333.342),,-312399501721.0,-312399501721.0,-127500000009.0,-354066168388.0,-85833333342.0,-85833333342.0
,,,Khoản đến hạn trả sau 12 tháng,238.275.966.631,238.275.966.631,,,110.775.966.622,110.775.966.622,,238275966631.0,238275966631.0,,,110775966622.0,110775966622.0
