row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,2.408.166.069,109.502.457.204,109.545.365.047,80.322.614,2.445.580.840,,2408166069.0,109502457204.0,109545365047.0,80322614.0,2445580840.0
Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,-,1.672.133.390,7.585.264.506,8.285.325.016,-,972.072.880,,1672133390.0,7585264506.0,8285325016.0,,972072880.0
"Thuế Xuất khấu, Nhập khấu","Thuế Xuất khấu, Nhập khấu","Thuế Xuất khấu, Nhập khấu",74.871.146,3.781.593,2.012.271.482,1.969.527.603,28.345.674,-,74871146.0,3781593.0,2012271482.0,1969527603.0,28345674.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,14.971.959.022,18.922.487.213,26.998.090.147,-,6.896.356.088,,14971959022.0,18922487213.0,26998090147.0,,6896356088.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,1.018.613.281,5.952.717.600,5.342.618.290,-,1.628.712.591,,1018613281.0,5952717600.0,5342618290.0,,1628712591.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,-,102.501.000,102.222.000,-,279.000,,,102501000.0,102222000.0,,279000.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,10.251.846,10.251.846,-,-,,,10251846.0,10251846.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,123.980.281,546.284.894,657.645.186,-,12.619.989,,123980281.0,546284894.0,657645186.0,,12619989.0
,,,74.871.146,20.198.633.636,144.634.235.745,152.911.045.135,108.668.288,11.955.621.388,74871146.0,20198633636.0,144634235745.0,152911045135.0,108668288.0,11955621388.0
