row_label_raw,row_label_full,col_0,col_1,31/12/2023 > Giá trị,31/12/2023 > Dự phòng,01/01/2023 > Giá trị,01/01/2023 > Dự phòng,numeric__col_1,numeric__31/12/2023 > Giá trị,numeric__31/12/2023 > Dự phòng,numeric__01/01/2023 > Giá trị,numeric__01/01/2023 > Dự phòng
,,,,VND,VND,VND,VND,,,,,
a),a),a),Ngắn hạn,,,,,,,,,
a.1),a.1),a.1),Chi tiết theo nội dung,,,,,,,,,
,,,- Phải thu các khoản bảo hiểm,6.684.821,-,141.256.899,-,,6684821.0,,141256899.0,
,,,"- Ký quỹ, ký cược (4)",6.341.463.038,-,6.074.116.283,-,,6341463038.0,,6074116283.0,
,,,- Tạm ứng,53.948.361.348,-,70.383.111.423,-,,53948361348.0,,70383111423.0,
,,,- Phải thu tiền chuyển nhượng khoản đầu tư,-,-,169.800.000.000,-,,,,169800000000.0,
,,,"- Phải thu vốn góp, lãi từ các hợp đồng hợp tác đầu tư (1)",572.536.503.485,-,330.283.778.748,-,,572536503485.0,,330283778748.0,
,,,"- Phải thu lãi tiền gửi, lãi cho vay",22.334.347.919,-,12.441.149.828,-,,22334347919.0,,12441149828.0,
,,,- Tạm ứng cho Trung tâm Phát triển Quỹ đất Nhom Trạch (2),48.977.063.000,-,248.977.063.000,-,,48977063000.0,,248977063000.0,
,,,"- Tiền đến bù, giải phóng mặt bằng chờ cần trừ tiền thuê đất (3)",25.419.560.297,-,19.595.898.576,-,,25419560297.0,,19595898576.0,
,,,- Phải thu khác,10.396.623.067,-,9.683.295.835,-,,10396623067.0,,9683295835.0,
,,,,739.960.606.975,-,867.379.670.592,-,,739960606975.0,,867379670592.0,
a.2),a.2),a.2),Chi tiết theo đối tượng,,,,,,,,,
,,,Bên liên quan,2.778.957.538,-,19.070.907.872,-,,2778957538.0,,19070907872.0,
,,,- Ông Trần Việt Anh,1.538.082.192,-,17.000.000.000,-,,1538082192.0,,17000000000.0,
,,,- Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,-,-,922.515.064,-,,,,922515064.0,
,,,- Công ty CP Phú Hữu Gia,1.240.875.346,-,-,-,,1240875346.0,,,
,,,- Bên liên quan khác,-,-,1.148.392.808,-,,,,1148392808.0,
,,,Bên khác,737.181.649.437,-,848.308.762.720,-,,737181649437.0,,848308762720.0,
,,,- Công ty CP Capella Group,18.257.126.572,-,-,-,,18257126572.0,,,
,,,- Trung tâm Phát triển Quỹ đất Nhom Trạch,48.977.063.000,-,248.977.063.000,-,,48977063000.0,,248977063000.0,
,,,- Các khách hàng khác,669.947.459.865,-,599.331.699.720,-,,669947459865.0,,599331699720.0,
,,,,739.960.606.975,-,867.379.670.592,-,,739960606975.0,,867379670592.0,
b),b),b),Dài hạn,,,,,,,,,
,,,"- Tiền đến bù, giải phóng mặt bằng chờ cần trừ tiền thuê đất (3)",7.715.701.302,-,11.975.357.864,-,,7715701302.0,,11975357864.0,
,,,"- Ký cược, ký quỹ (4)",4.828.696.875,-,4.824.731.056,-,,4828696875.0,,4824731056.0,
,,,- Phải thu khác,-,-,491.346.810,-,,,,491346810.0,
,,,,12.544.398.177,-,17.291.435.730,-,,12544398177.0,,17291435730.0,
