row_label_raw,row_label_full,col_0,Cáp và vật liệu viễn thông,Xây dựng và kinh doanh bất động sản,Đầu tư tài chính và lĩnh vực khác,Tổng cộng toàn doanh nghiệp,numeric__Cáp và vật liệu viễn thông,numeric__Xây dựng và kinh doanh bất động sản,numeric__Đầu tư tài chính và lĩnh vực khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.982.438.170.577,80.109.309.501,137.568.264.843,2.200.115.744.921,1982438170577.0,80109309501.0,137568264843.0,2200115744921.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,80.095.341.607,50.037.248.994,27.078.726.805,157.211.317.406,80095341607.0,50037248994.0,27078726805.0,157211317406.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,11.679.414.084,-,23.185.050.431,34.864.464.515,11679414084.0,,23185050431.0,34864464515.0
Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,1.379.713.972.053,1.032.576.177.684,4.179.601.649.227,6.591.891.798.964,1379713972053.0,1032576177684.0,4179601649227.0,6591891798964.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.379.713.972.053,1.032.576.177.684,4.179.601.649.227,6.591.891.798.964,1379713972053.0,1032576177684.0,4179601649227.0,6591891798964.0
Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,860.946.835.540,214.193.219.235,853.780.860.769,1.928.920.915.544,860946835540.0,214193219235.0,853780860769.0,1928920915544.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,56.902.637.516,,,,56902637516.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,860.946.835.540,214.193.219.235,853.780.860.769,1.985.823.553.060,860946835540.0,214193219235.0,853780860769.0,1985823553060.0
