row_label_raw,row_label_full,col_0,col_1,Năm 2023,Năm 2022,numeric__col_1,numeric__Năm 2023,numeric__Năm 2022
,,,,VND,VND,,,
Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,,,
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp đầu năm,3.799.609.710.000,3.499.971.900.000,,3799609710000.0,3499971900000.0
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp tăng trong năm,-,299.637.810.000,,,299637810000.0
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp cuối năm,3.799.609.710.000,3.799.609.710.000,,3799609710000.0,3799609710000.0
"Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:",,,
-,"Cổ tức, lợi nhuận đã chia: > -",-,"Cổ tức, lợi nhuận phải trả đầu năm",1.493.572.319,1.493.572.319,,1493572319.0,1493572319.0
-,"Cổ tức, lợi nhuận đã chia: > -",-,"Cổ tức, lợi nhuận phải trả trong năm",11.749.750.000,5.118.750.000,,11749750000.0,5118750000.0
+,"Cổ tức, lợi nhuận đã chia: > +",+,"Cổ tức, lợi nhuận chia trên lợi nhuận năm trước",11.749.750.000,5.118.750.000,,11749750000.0,5118750000.0
-,"Cổ tức, lợi nhuận đã chia: > -",-,"Cổ tức, lợi nhuận đã chi trả bằng tiền",7.549.750.000,5.118.750.000,,7549750000.0,5118750000.0
+,"Cổ tức, lợi nhuận đã chia: > +",+,"Cổ tức, lợi nhuận chia trên lợi nhuận năm trước",7.549.750.000,5.118.750.000,,7549750000.0,5118750000.0
-,"Cổ tức, lợi nhuận đã chia: > -",-,"Cổ tức, lợi nhuận còn phải trả cuối năm",5.693.572.319,1.493.572.319,,5693572319.0,1493572319.0
c) Cổ phiếu,c) Cổ phiếu,c) Cổ phiếu,c) Cổ phiếu,c) Cổ phiếu,c) Cổ phiếu,,,
,,,,31/12/2023,01/01/2023,,,
Số lượng cổ phiếu đăng ký phát hành,c) Cổ phiếu > Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,379.960.971,379.960.971,,379960971.0,379960971.0
Số lượng cổ phiếu đã bán ra công chúng,c) Cổ phiếu > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,379.960.971,379.960.971,,379960971.0,379960971.0
-,c) Cổ phiếu > -,-,Cổ phiếu phổ thông,379.960.971,379.960.971,,379960971.0,379960971.0
Số lượng cổ phiếu đang lưu hành,c) Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,379.960.971,379.960.971,,379960971.0,379960971.0
-,c) Cổ phiếu > -,-,Cổ phiếu phổ thông,379.960.971,379.960.971,,379960971.0,379960971.0
Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,,,
d) Các quỹ của Công ty,d) Các quỹ của Công ty,d) Các quỹ của Công ty,d) Các quỹ của Công ty,d) Các quỹ của Công ty,d) Các quỹ của Công ty,,,
,,,,31/12/2023,01/01/2023,,,
,,,,VND,VND,,,
Quỹ đầu tư phát triển,d) Các quỹ của Công ty > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,8.728.889.757,12.021.402.005,,8728889757.0,12021402005.0
,,,,8.728.889.757,12.021.402.005,,8728889757.0,12021402005.0
