row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,43.484.939.916,5.190.090.433,697.830.000,49.372.860.349,43484939916.0,5190090433.0,697830000.0,49372860349.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,346.440.000,-,346.440.000,,346440000.0,,346440000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,43.484.939.916,5.536.530.433,697.830.000,49.719.300.349,43484939916.0,5536530433.0,697830000.0,49719300349.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,12.839.566.669,4.425.611.855,697.830.000,17.963.008.524,12839566669.0,4425611855.0,697830000.0,17963008524.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.001.091.078,311.103.670,-,1.312.194.748,1001091078.0,311103670.0,,1312194748.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,13.840.657.747,4.736.715.525,697.830.000,19.275.203.272,13840657747.0,4736715525.0,697830000.0,19275203272.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,30.645.373.247,764.478.578,-,31.409.851.825,30645373247.0,764478578.0,,31409851825.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,29.644.282.169,799.814.908,-,30.444.097.077,29644282169.0,799814908.0,,30444097077.0
