row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,772.255.190.259,467.530.818.802,62.563.398.250,5.657.543.645,524.741.220,1.308.531.692.176,772255190259.0,467530818802.0,62563398250.0,5657543645.0,524741220.0,1308531692176.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,12.055.030.776,639.444.444,-,-,12.694.475.220,,12055030776.0,639444444.0,,,12694475220.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,1.775.765.016,-,-,-,-,1.775.765.016,1775765016.0,,,,,1775765016.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.122.425.627),(93.320.000),-,(1.215.745.627),,,-1122425627.0,-93320000.0,,-1215745627.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,774.030.955.275,479.585.849.578,62.080.417.067,5.564.223.645,524.741.220,1.321.786.186.785,774030955275.0,479585849578.0,62080417067.0,5564223645.0,524741220.0,1321786186785.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,190.431.737.837,413.968.016.623,44.488.828.261,4.237.513.269,401.748.738,653.527.844.728,190431737837.0,413968016623.0,44488828261.0,4237513269.0,401748738.0,653527844728.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,20.569.385.298,10.403.170.845,3.603.441.487,374.511.907,86.818.230,35.037.327.767,20569385298.0,10403170845.0,3603441487.0,374511907.0,86818230.0,35037327767.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.122.425.627),(51.106.660),-,(1.173.532.287),,,-1122425627.0,-51106660.0,,-1173532287.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,211.001.123.135,424.371.187.468,46.969.844.121,4.560.918.516,488.566.968,687.391.640.208,211001123135.0,424371187468.0,46969844121.0,4560918516.0,488566968.0,687391640208.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,581.823.452.422,53.562.802.179,18.074.569.989,1.420.030.376,122.992.482,655.003.847.448,581823452422.0,53562802179.0,18074569989.0,1420030376.0,122992482.0,655003847448.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,563.029.832.140,55.214.662.110,15.110.572.946,1.003.305.129,36.174.252,634.394.546.577,563029832140.0,55214662110.0,15110572946.0,1003305129.0,36174252.0,634394546577.0
