row_label_raw,row_label_full,col_0,Vốncổ phầnVND,Thặng dưvốn cổ phầnVND,Vốn khác củachủ sở hữuVND,Cổ phiếuquỹVND,Lợi nhuận sau thuếchưa phân phốiVND,TổngVND,numeric__Vốncổ phầnVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Vốn khác củachủ sở hữuVND,numeric__Cổ phiếuquỹVND,numeric__Lợi nhuận sau thuếchưa phân phốiVND,numeric__TổngVND
Số dư tại ngày 1 tháng 1 năm2018,Số dư tại ngày 1 tháng 1 năm2018,Số dư tại ngày 1 tháng 1 năm2018,11.573.739.740.000,6.855.539.345.096,(1.695.338.182.568),(6.518.087.064.615),1.383.417.646.444,11.599.271.484.357,11573739740000.0,6855539345096.0,-1695338182568.0,-6518087064615.0,1383417646444.0,11599271484357.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,57.755.740.000,(50.000.000),-,-,-,57.705.740.000,57755740000.0,-50000000.0,,,,57705740000.0
Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,-,4.228.927.195.983,-,6.518.087.064.615,-,10.747.014.260.598,,4228927195983.0,,6518087064615.0,,10747014260598.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.836.770.896.284,1.836.770.896.284,,,,,1836770896284.0,1836770896284.0
Số dư tại ngày 1 tháng 1 năm2019,Số dư tại ngày 1 tháng 1 năm2019,Số dư tại ngày 1 tháng 1 năm2019,11.631.495.480.000,11.084.416.541.079,(1.695.338.182.568),-,3.220.188.542.728,24.240.762.381.239,11631495480000.0,11084416541079.0,-1695338182568.0,,3220188542728.0,24240762381239.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,57.968.990.000,(60.000.000),-,-,-,57.908.990.000,57968990000.0,-60000000.0,,,,57908990000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.350.023.708.882,1.350.023.708.882,,,,,1350023708882.0,1350023708882.0
Số dư tại ngày 31 tháng 12năm 2019,Số dư tại ngày 31 tháng 12năm 2019,Số dư tại ngày 31 tháng 12năm 2019,11.689.464.470.000,11.084.356.541.079,(1.695.338.182.568),-,4.570.212.251.610,25.648.695.080.121,11689464470000.0,11084356541079.0,-1695338182568.0,,4570212251610.0,25648695080121.0
