row_label_raw,row_label_full,col_0,Trái phiếu của Công ty Cổ phần Tài nguyên Masan VND,Trái phiếu của Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo VND,Trái phiếu khác VND,Tổng VND,numeric__Trái phiếu của Công ty Cổ phần Tài nguyên Masan VND,numeric__Trái phiếu của Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo VND,numeric__Trái phiếu khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.499.990.000.000,-,-,1.499.990.000.000,1499990000000.0,,,1499990000000.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,750.000.000.000,1.000.000.000.000,976.240.500.000,2.726.240.500.000,750000000000.0,1000000000000.0,976240500000.0,2726240500000.0
Thanh lý,Thanh lý,Thanh lý,(1.499.990.000.000),(500.000.000.000),(654.710.500.000),(2.654.700.500.000),-1499990000000.0,-500000000000.0,-654710500000.0,-2654700500000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,750.000.000.000,500.000.000.000,321.530.000.000,1.571.530.000.000,750000000000.0,500000000000.0,321530000000.0,1571530000000.0
