row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2019VND,2018VND,numeric__Tính chất giao dịch,numeric__2019VND,numeric__2018VND
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,
Công ty TNHH,Công ty con sở hữu trực tiếp > Công ty TNHH,Công ty TNHH,Thu nhập cổ tức,1.320.000.000.000,1.320.000.000.000,,1320000000000.0,1320000000000.0
MasanConsumerHoldings,Công ty con sở hữu trực tiếp > MasanConsumerHoldings,MasanConsumerHoldings,Khoản cho vay đã cấp,-,2.800.000.000.000,,,2800000000000.0
MasanConsumerHoldings,Công ty con sở hữu trực tiếp > MasanConsumerHoldings,MasanConsumerHoldings,Khoản cho vay đã thu,2.800.000.000.000,-,,2800000000000.0,
MasanConsumerHoldings,Công ty con sở hữu trực tiếp > MasanConsumerHoldings,MasanConsumerHoldings,Thu nhập lãi cho vay,131.688.219.179,24.931.506.850,,131688219179.0,24931506850.0
Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Công ty con sở hữu trực tiếp > Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Thu nhập cổ tức,-,1.135.573.000.000,,,1135573000000.0
Công ty TNHH Tầm nhìn,Công ty con sở hữu trực tiếp > Công ty TNHH Tầm nhìn,Công ty TNHH Tầm nhìn,Góp vốn,1.787.200.000.000,-,,1787200000000.0,
Masan,Công ty con sở hữu trực tiếp > Masan,Masan,Khoản cho vay đã cấp,150.656.000.000,-,,150656000000.0,
Masan,Công ty con sở hữu trực tiếp > Masan,Masan,Thu nhập lãi cho vay,429.266.411,-,,429266411.0,
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,
Công ty Cổ phần Tài nguyên Masan,Công ty con sở hữu gián tiếp > Công ty Cổ phần Tài nguyên Masan,Công ty Cổ phần Tài nguyên Masan,Thu nhập lãi trái phiếu,103.892.049.506,16.027.323.287,,103892049506.0,16027323287.0
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con sở hữu gián tiếp > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Chia sẻ chi phí công nghệ thông tin,3.722.084.981,4.996.948.188,,3722084981.0,4996948188.0
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con sở hữu gián tiếp > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Mua hàng,177.451.344,22.526.304,,177451344.0,22526304.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty con sở hữu gián tiếp > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Khoản vay nhận được,1.000.000.000.000,-,,1000000000000.0,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty con sở hữu gián tiếp > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Chi phí lãi vay,224.657.534,-,,224657534.0,
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty con sở hữu gián tiếp > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,Thu nhập lãi trái phiếu,43.030.134.385,-,,43030134385.0,
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Chi phí lãi vay,-,9.678.054.795,,,9678054795.0
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Cấn trừ cổ tức phải thu với khoản vay phải trả,-,937.000.000.000,,,937000000000.0
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty con sở hữu gián tiếp > Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Cấn trừ cổ tức phải thu với chi phí lãi vay phải trả,-,82.918.630.139,,,82918630139.0
