row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Dự phòng VND,Số cuối năm > Giá trị hợp lý VND,Số đầu năm > Giá gốc VND,Số đầu năm > Dự phòng VND,Số đầu năm > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Dự phòng VND,numeric__Số đầu năm > Giá trị hợp lý VND
Đầu tư vào công ty con (1),Đầu tư vào công ty con (1),Đầu tư vào công ty con (1),463.692.595.606,-,463.692.595.606,478.950.000.000,-,478.950.000.000,463692595606.0,,463692595606.0,478950000000.0,,478950000000.0
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",786.322.400.000,2.362.843.443,783.959.556.557,578.322.400.000,3.383.747.616,574.938.652.384,786322400000.0,2362843443.0,783959556557.0,578322400000.0,3383747616.0,574938652384.0
Cộng,Cộng,Cộng,1.250.014.995.606,2.362.843.443,1.247.652.152.163,1.057.272.400.000,3.383.747.616,1.053.888.652.384,1250014995606.0,2362843443.0,1247652152163.0,1057272400000.0,3383747616.0,1053888652384.0
