row_label_raw,row_label_full,Số đầu năm,Dưới 1 nămVND > Số đầu năm,Từ 1 - 5 nămVND > Số đầu năm,TổngVND > Số đầu năm,numeric__Dưới 1 nămVND > Số đầu năm,numeric__Từ 1 - 5 nămVND > Số đầu năm,numeric__TổngVND > Số đầu năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.043.069.462.202,-,1.043.069.462.202,1043069462202.0,,1043069462202.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,29.293.318.300,-,29.293.318.300,29293318300.0,,29293318300.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.053.888.652.384,1.053.888.652.384,,1053888652384.0,1053888652384.0
Cộng,Cộng,Cộng,1.072.362.780.502,1.053.888.652.384,2.126.251.432.886,1072362780502.0,1053888652384.0,2126251432886.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,75.000.000.000,-,75.000.000.000,75000000000.0,,75000000000.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,47.246.460.550,-,47.246.460.550,47246460550.0,,47246460550.0
Công nợ tài chính khác,Số đầu năm > Công nợ tài chính khác,Công nợ tài chính khác,811.736.389,-,811.736.389,811736389.0,,811736389.0
Cộng,Số đầu năm > Cộng,Cộng,123.058.196.939,-,123.058.196.939,123058196939.0,,123058196939.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,949.304.583.563,1.053.888.652.384,2.003.193.235.947,949304583563.0,1053888652384.0,2003193235947.0
