row_label_raw,row_label_full,col_0,Phương tiện vận tải VND,Thiết bị quản lý VND,Cộng VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,7.758.664.002,343.216.798,8.101.880.800,7758664002.0,343216798.0,8101880800.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,205.598.415,-,205.598.415,205598415.0,,205598415.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,7.964.262.417,343.216.798,8.307.479.215,7964262417.0,343216798.0,8307479215.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
Số dư đầu năm,HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,803.414.816,243.303.721,1.046.718.537,803414816.0,243303721.0,1046718537.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.048.896.580,18.600.000,1.067.496.580,1048896580.0,18600000.0,1067496580.0
Số dư cuối năm,HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.852.311.396,261.903.721,2.114.215.117,1852311396.0,261903721.0,2114215117.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.955.249.186,99.913.077,7.055.162.263,6955249186.0,99913077.0,7055162263.0
Tại ngày cuối năm,GIÁ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.111.951.021,81.313.077,6.193.264.098,6111951021.0,81313077.0,6193264098.0
