row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị: VNDNăm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,171.135.309.503,341.999.017.329,1.0,171135309503.0,341999017329.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,,,
Khẩu hao tài sản cố định và BĐSĐT,2. Điều chỉnh cho các khoản > Khẩu hao tài sản cố định và BĐSĐT,Khẩu hao tài sản cố định và BĐSĐT,02,1.067.496.580,812.684.128,2.0,1067496580.0,812684128.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(2.337.367.990),2.790.919.824,3.0,-2337367990.0,2790919824.0
(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản > (Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,04,23.995.502,-,4.0,23995502.0,
(Lãi)/lỗ từ hoạt động đầu tư,2. Điều chỉnh cho các khoản > (Lãi)/lỗ từ hoạt động đầu tư,(Lãi)/lỗ từ hoạt động đầu tư,05,(77.913.032.324),(81.120.062.410),5.0,-77913032324.0,-81120062410.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,487.500.000,7.167.302.382,6.0,487500000.0,7167302382.0
3. Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu động,08,92.463.901.271,271.649.861.253,8.0,92463901271.0,271649861253.0
(Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản > (Tăng)/giảm các khoản phải thu,(Tăng)/giảm các khoản phải thu,09,142.518.605.945,(129.517.499.001),9.0,142518605945.0,-129517499001.0
(Tăng)/giảm hàng tồn kho,2. Điều chỉnh cho các khoản > (Tăng)/giảm hàng tồn kho,(Tăng)/giảm hàng tồn kho,10,148.946.367.884,(254.461.156.990),10.0,148946367884.0,-254461156990.0
"Tăng/(giảm) các khoản phải trả (Không kể lãivay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > Tăng/(giảm) các khoản phải trả (Không kể lãivay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng/(giảm) các khoản phải trả (Không kể lãivay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(1.409.664.932),(619.547.671.402),11.0,-1409664932.0,-619547671402.0
Tăng/giảm chi phí trả trước,2. Điều chỉnh cho các khoản > Tăng/giảm chi phí trả trước,Tăng/giảm chi phí trả trước,12,38.848.085,(25.553.608),12.0,38848085.0,-25553608.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(487.500.000),(7.167.302.382),14.0,-487500000.0,-7167302382.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(15.056.685.117),(4.808.466.695),15.0,-15056685117.0,-4808466695.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(261.085.952),(581.781.457),17.0,-261085952.0,-581781457.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,366.752.787.184,(744.459.570.282),20.0,366752787184.0,-744459570282.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
"1. Tiền chỉ đề mua sắm, xây dựng TSCĐ","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 1. Tiền chỉ đề mua sắm, xây dựng TSCĐ","1. Tiền chỉ đề mua sắm, xây dựng TSCĐ",21,(2.079.090.909),(3.596.629.455),21.0,-2079090909.0,-3596629455.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ","2. Tiền thu từ thanh lý, nhượng bán TSCĐ",22,-,1.056.731.818,22.0,,1056731818.0
"3.Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 3.Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","3.Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,(1.679.578.000.000),,23.0,-1679578000000.0,
"4.Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 4.Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","4.Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác",24,820.775.000.000,448.550.000.000,24.0,820775000000.0,448550000000.0
5.Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 5.Tiền chỉ đầu tư góp vốn vào đơn vị khác,5.Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,(208.000.000.000),(364.895.052.614),25.0,-208000000000.0,-364895052614.0
"6.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 6.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,78.333.662.507,72.242.114.161,27.0,78333662507.0,72242114161.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(990.548.428.402),153.357.163.910,30.0,-990548428402.0,153357163910.0
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu","1.Tiền thu từ phát hành cổ phiếu, nhận vốn gópcủa chủ sở hữu",31,315.000.000.000,1.220.951.127.000,31.0,315000000000.0,1220951127000.0
"2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành",32,(42.082.508.146),-,32.0,-42082508146.0,
3.Tiền thu từ đi vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.Tiền thu từ đi vay,3.Tiền thu từ đi vay,33,-,883.097.031.980,33.0,,883097031980.0
4.Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.Tiền trả nợ gốc vay,4.Tiền trả nợ gốc vay,34,(75.000.000.000),(808.097.031.980),34.0,-75000000000.0,-808097031980.0
"5.Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 5.Cổ tức, lợi nhuận đã trả cho chủ sở hữu","5.Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(107.896.940.440),(168.359.798.000),36.0,-107896940440.0,-168359798000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,90.020.551.414,1.127.591.329.000,40.0,90020551414.0,1127591329000.0
