row_label_raw,row_label_full,Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Số cuối năm VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Số đầu năm VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Số cuối năm VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Số đầu năm VND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,171.135.309.503,341.999.017.329,171135309503.0,341999017329.0
Hoạt động chính,Hoạt động chính,Hoạt động chính,74.731.432.178,260.897.342.907,74731432178.0,260897342907.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,96.403.877.325,81.101.674.422,96403877325.0,81101674422.0
Điều chính cho thu nhập chịu thuế,Điều chính cho thu nhập chịu thuế,Điều chính cho thu nhập chịu thuế,(22.037.691.433),(57.474.000.000),-22037691433.0,-57474000000.0
Hoạt động chính,Hoạt động chính,Hoạt động chính,1.349.043.293,-,1349043293.0,
Cộng: Các khoản chỉ phí không được khấu trừ,Cộng: Các khoản chỉ phí không được khấu trừ,Cộng: Các khoản chỉ phí không được khấu trừ,1.349.043.293,-,1349043293.0,
Hoạt động khác,Hoạt động khác,Hoạt động khác,(21.120.451.739),(57.474.000.000),-21120451739.0,-57474000000.0
Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(22.037.691.433),(57.474.000.000),-22037691433.0,-57474000000.0
Cộng: Các khoản chỉ phí không được khấu trừ,Cộng: Các khoản chỉ phí không được khấu trừ,Cộng: Các khoản chỉ phí không được khấu trừ,917.239.694,-,917239694.0,
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,150.932.097.458,284.525.017.329,150932097458.0,284525017329.0
Hoạt động chính,Hoạt động chính,Hoạt động chính,75.648.671.872,260.897.342.907,75648671872.0,260897342907.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,75.283.425.586,23.627.674.422,75283425586.0,23627674422.0
Thuế suất thông thường,Thuế suất thông thường,Thuế suất thông thường,20%,22%,0.2,0.22
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,30.186.419.491,62.595.503.812,30186419491.0,62595503812.0
Hoạt động chính,Hoạt động chính,Hoạt động chính,15.129.734.374,57.397.415.440,15129734374.0,57397415440.0
Hoạt động khác,Hoạt động khác,Hoạt động khác,15.056.685.117,5.198.088.373,15056685117.0,5198088373.0
Miễn thuế theo ưu đãi (*),Miễn thuế theo ưu đãi (*),Miễn thuế theo ưu đãi (*),(15.129.734.374),(57.397.415.440),-15129734374.0,-57397415440.0
Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,15.056.685.117,5.198.088.373,15056685117.0,5198088373.0
