row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Công ty CP đầu tư DV TC Hoàng Huy,Công ty CP đầu tư DV TC Hoàng Huy,Công ty CP đầu tư DV TC Hoàng Huy,Công ty CP đầu tư DV TC Hoàng Huy,Công ty CP đầu tư DV TC Hoàng Huy,,
"Mua hàng hóa, dịch vụ","Công ty CP đầu tư DV TC Hoàng Huy > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",34.659.900.000,90.731.309.183,34659900000.0,90731309183.0
Chi hộ khác,Công ty CP đầu tư DV TC Hoàng Huy > Chi hộ khác,Chi hộ khác,-,892.392.000,,892392000.0
Công ty Cổ phần phát triển DV Hoàng Giang,Công ty Cổ phần phát triển DV Hoàng Giang,Công ty Cổ phần phát triển DV Hoàng Giang,Công ty Cổ phần phát triển DV Hoàng Giang,Công ty Cổ phần phát triển DV Hoàng Giang,,
Nhận cố tức bằng tiền,Công ty Cổ phần phát triển DV Hoàng Giang > Nhận cố tức bằng tiền,Nhận cố tức bằng tiền,38.316.000.000,57.474.000.000,38316000000.0,57474000000.0
Cho vay vốn lưu động,Công ty Cổ phần phát triển DV Hoàng Giang > Cho vay vốn lưu động,Cho vay vốn lưu động,-,23.500.000.000,,23500000000.0
Lãi tiền vay,Công ty Cổ phần phát triển DV Hoàng Giang > Lãi tiền vay,Lãi tiền vay,-,4.916.667,,4916667.0
Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp,,
"Bán hàng hóa, dịch vụ","Công ty Cổ phần đầu tư xây dựng Hoàng Hiệp > Bán hàng hóa, dịch vụ","Bán hàng hóa, dịch vụ",-,22.707.500.000,,22707500000.0
Công ty Cổ phần đầu tư dịch vụ Thành Nam,Công ty Cổ phần đầu tư dịch vụ Thành Nam,Công ty Cổ phần đầu tư dịch vụ Thành Nam,Công ty Cổ phần đầu tư dịch vụ Thành Nam,Công ty Cổ phần đầu tư dịch vụ Thành Nam,,
Góp vốn,Công ty Cổ phần đầu tư dịch vụ Thành Nam > Góp vốn,Góp vốn,208.000.000.000,-,208000000000.0,
"Bán hàng hóa, dịch vụ","Công ty Cổ phần đầu tư dịch vụ Thành Nam > Bán hàng hóa, dịch vụ","Bán hàng hóa, dịch vụ",-,2.662.000.000,,2662000000.0
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,,
Giá trị công trình thi công bàn giao,Công ty TNHH Pruksa Việt Nam > Giá trị công trình thi công bàn giao,Giá trị công trình thi công bàn giao,-,20.826.854.379,,20826854379.0
Chi phí khác,Công ty TNHH Pruksa Việt Nam > Chi phí khác,Chi phí khác,762.519.765,-,762519765.0,
