row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,509.293.273.804,-,509.293.273.804,509293273804.0,,509293273804.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,27.454.538.612,-,27.454.538.612,27454538612.0,,27454538612.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,858.803.000.000,-,858.803.000.000,858803000000.0,,858803000000.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.247.652.152.163,1.247.652.152.163,,1247652152163.0,1247652152163.0
Cộng,Cộng,Cộng,1.395.550.812.416,1.247.652.152.163,2.643.202.964.579,1395550812416.0,1247652152163.0,2643202964579.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,50.000.689.700,-,50.000.689.700,50000689700.0,,50000689700.0
Công nợ tài chính khác,Số cuối năm > Công nợ tài chính khác,Công nợ tài chính khác,408.013.977,-,408.013.977,408013977.0,,408013977.0
Cộng,Số cuối năm > Cộng,Cộng,50.408.703.677,-,50.408.703.677,50408703677.0,,50408703677.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.345.142.108.739,1.247.652.152.163,2.592.794.260.902,1345142108739.0,1247652152163.0,2592794260902.0
