row_label_raw,row_label_full,Ông Đỗ Hữu Hạ,Chú tịch,numeric__Chú tịch
Bà Mai Trang,Bà Mai Trang,Bà Mai Trang,Thành viên (từ nhiệm ngày 01/07/2016),
Ông Đỗ Hữu Hậu,Ông Đỗ Hữu Hậu,Ông Đỗ Hữu Hậu,Thành viên,
Bà Nguyễn Thị Hà,Bà Nguyễn Thị Hà,Bà Nguyễn Thị Hà,Thành viên,
Ông Đỗ Hữu Hưng,Ông Đỗ Hữu Hưng,Ông Đỗ Hữu Hưng,Thành viên,
Ông Nguyễn Phú Hiểu,Ông Nguyễn Phú Hiểu,Ông Nguyễn Phú Hiểu,Thành viên (bổ nhiệm ngày 03/02/2016),
