row_label_raw,row_label_full,col_0,Công ty Cổ phần May Tiến Phát VND,numeric__Công ty Cổ phần May Tiến Phát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.236.942.393,7236942393.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,781.079.249,781079249.0
Các khoản yay phải thu (Thuyết minh 11),Các khoản yay phải thu (Thuyết minh 11),Các khoản yay phải thu (Thuyết minh 11),26.566.269.000,26566269000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,25.940.312.327,25940312327.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,3.053.326.046,3053326046.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,3.561.719.118,3561719118.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,4.600.000,4600000.0
Thuế và các khoản khác phải thu từ Ngân sách Nhà nước,Thuế và các khoản khác phải thu từ Ngân sách Nhà nước,Thuế và các khoản khác phải thu từ Ngân sách Nhà nước,53.149.883,53149883.0
Tài sản cố định hữu hình - nguyên giá (Thuyết minh 15),Tài sản cố định hữu hình - nguyên giá (Thuyết minh 15),Tài sản cố định hữu hình - nguyên giá (Thuyết minh 15),83.902.100,83902100.0
Tài sản cố định hữu hình - giá trị khấu hao lũy kế (Thuyết minh 15),Tài sản cố định hữu hình - giá trị khấu hao lũy kế (Thuyết minh 15),Tài sản cố định hữu hình - giá trị khấu hao lũy kế (Thuyết minh 15),(83.902.100),-83902100.0
Tài sản cố định vô hình - nguyên giá (Thuyết minh 17),Tài sản cố định vô hình - nguyên giá (Thuyết minh 17),Tài sản cố định vô hình - nguyên giá (Thuyết minh 17),24.016.200,24016200.0
Tài sản cố định vô hình - giá trị hao mòn lũy kế (Thuyết minh 17),Tài sản cố định vô hình - giá trị hao mòn lũy kế (Thuyết minh 17),Tài sản cố định vô hình - giá trị hao mòn lũy kế (Thuyết minh 17),(24.016.200),-24016200.0
Bất động sản đầu tư - nguyên giá (Thuyết minh 18),Bất động sản đầu tư - nguyên giá (Thuyết minh 18),Bất động sản đầu tư - nguyên giá (Thuyết minh 18),24.878.951.186,24878951186.0
Bất động sản đầu tư - giá trị khấu hao lũy kế (Thuyết minh 18),Bất động sản đầu tư - giá trị khấu hao lũy kế (Thuyết minh 18),Bất động sản đầu tư - giá trị khấu hao lũy kế (Thuyết minh 18),(626.795.286),-626795286.0
Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,318.987.894.865,318987894865.0
Chi phí trả trước dài hạn (Thuyết minh 20),Chi phí trả trước dài hạn (Thuyết minh 20),Chi phí trả trước dài hạn (Thuyết minh 20),37.937.244,37937244.0
Lợi thế thương mại - nguyên giá (Thuyết minh 21),Lợi thế thương mại - nguyên giá (Thuyết minh 21),Lợi thế thương mại - nguyên giá (Thuyết minh 21),303.680.094.728,303680094728.0
Lợi thế thương mại - giá trị hao mòn lũy kế (Thuyết minh 21),Lợi thế thương mại - giá trị hao mòn lũy kế (Thuyết minh 21),Lợi thế thương mại - giá trị hao mòn lũy kế (Thuyết minh 21),(85.420.031.376),-85420031376.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(8.767.647.788),-8767647788.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,(9.240.752.143),-9240752143.0
Thuế và các khoản phải nộp Nhà nước (Thuyết minh 23(a)),Thuế và các khoản phải nộp Nhà nước (Thuyết minh 23(a)),Thuế và các khoản phải nộp Nhà nước (Thuyết minh 23(a)),(1.726.252),-1726252.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,(1.380.000),-1380000.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,(410.739.676),-410739676.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(15.170.404.736),-15170404736.0
Vay ngắn hạn (Thuyết minh 26(a)),Vay ngắn hạn (Thuyết minh 26(a)),Vay ngắn hạn (Thuyết minh 26(a)),(11.000.000.000),-11000000000.0
Quỹ khen thưởng và phúc lợi (Thuyết minh 27),Quỹ khen thưởng và phúc lợi (Thuyết minh 27),Quỹ khen thưởng và phúc lợi (Thuyết minh 27),(2.346.422.595),-2346422595.0
Lợi ích cố đông không kiểm soát (Thuyết minh 29),Lợi ích cố đông không kiểm soát (Thuyết minh 29),Lợi ích cố đông không kiểm soát (Thuyết minh 29),(40.745.988),-40745988.0
Thay đổi trong lợi nhuận chưa phân phối phát sinh từ việc mua thêm cổ phần công ty con (Thuyết minh 29),Thay đổi trong lợi nhuận chưa phân phối phát sinh từ việc mua thêm cổ phần công ty con (Thuyết minh 29),Thay đổi trong lợi nhuận chưa phân phối phát sinh từ việc mua thêm cổ phần công ty con (Thuyết minh 29),31.751.159.519,31751159519.0
